packet,source_ip,port,time
1,10.10.10.2,49153,1685.01
2,10.10.10.2,49153,1687.01
3,10.10.10.2,49153,1688
4,10.10.10.2,49153,1689.01
5,10.10.10.2,49153,1690
6,10.10.10.2,49153,1691.05
7,10.10.10.2,49153,1692.01
8,10.10.10.2,49153,1693
9,10.10.10.2,49153,1694
10,10.10.10.2,49153,1695.02
11,10.10.10.2,49153,1697
12,10.10.10.2,49153,1698
13,10.10.10.2,49153,1701.01
14,10.10.10.2,49153,1702
15,10.10.10.2,49153,1704
16,10.10.10.2,49153,1705.04
17,10.10.10.2,49153,1707
18,10.10.10.2,49153,1708.01
19,10.10.10.2,49153,1709.01
20,10.10.10.2,49153,1711.03
21,10.10.10.2,49153,1712.04
22,10.10.10.2,49153,1713.01
23,10.10.10.2,49153,1714.01
24,10.10.10.2,49153,1715
25,10.10.10.2,49153,1717
26,10.10.10.2,49153,1718.03
27,10.10.10.2,49153,1719
28,10.10.10.2,49153,1722.04
29,10.10.10.2,49153,1723.02
30,10.10.10.2,49153,1724
31,10.10.10.2,49153,1726.01
32,10.10.10.2,49153,1728.03
33,10.10.10.2,49153,1729.01
34,10.10.10.2,49153,1730
35,10.10.10.2,49153,1731.01
36,10.10.10.2,49153,1732.02
37,10.10.10.2,49153,1733.02
38,10.10.10.2,49153,1734.03
39,10.10.10.2,49153,1736.03
40,10.10.10.2,49153,1739.01
41,10.10.10.2,49153,1740.01
42,10.10.10.2,49153,1741
43,10.10.10.2,49153,1745
44,10.10.10.2,49153,1746
45,10.10.10.2,49153,1749.02
46,10.10.10.2,49153,1753
47,10.10.10.2,49153,1755.01
48,10.10.10.2,49153,1757
49,10.10.10.2,49153,1758
50,10.10.10.2,49153,1760.01
51,10.10.10.2,49153,1761.01
52,10.10.10.2,49153,1762.01
53,10.10.10.2,49153,1763
54,10.10.10.2,49153,1766.05
55,10.10.10.2,49153,1769.01
56,10.10.10.2,49153,1770.04
57,10.10.10.2,49153,1771.02
58,10.10.10.2,49153,1775.02
59,10.10.10.2,49153,1776
60,10.10.10.2,49153,1777
61,10.10.10.2,49153,1781.02
62,10.10.10.2,49153,1784.01
63,10.10.10.2,49153,1788
64,10.10.10.2,49153,1789
65,10.10.10.2,49153,1790
66,10.10.10.2,49153,1791.01
67,10.10.10.2,49153,1792.01
68,10.10.10.2,49153,1793.05
69,10.10.10.2,49153,1794.01
70,10.10.10.2,49153,1795.03
71,10.10.10.2,49153,1796
72,10.10.10.2,49153,1797
73,10.10.10.2,49153,1798.01
74,10.10.10.2,49153,1799.05
75,10.10.10.2,49153,1800.01
76,10.10.10.2,49153,1801.02
77,10.10.10.2,49153,1803.05
78,10.10.10.2,49153,1804
79,10.10.10.2,49153,1805
80,10.10.10.2,49153,1914.21
81,10.10.10.2,49153,1917.1
82,10.10.10.2,49153,1918.02
83,10.10.10.2,49153,1921.1
84,10.10.10.2,49153,1923
85,10.10.10.2,49153,1926.08
86,10.10.10.2,49153,1927.36
87,10.10.10.2,49153,1932.16
88,10.10.10.2,49153,1934.07
89,10.10.10.2,49153,1935.11
90,10.10.10.2,49153,1936.01
91,10.10.10.2,49153,1938.04
92,10.10.10.2,49153,1939.06
93,10.10.10.2,49153,1944.01
94,10.10.10.2,49153,1949.02
95,10.10.10.2,49153,1952.09
96,10.10.10.2,49153,1953
97,10.10.10.2,49153,1954
98,10.10.10.2,49153,1957.1
99,10.10.10.2,49153,1958
100,10.10.10.2,49153,1961.06
101,10.10.10.2,49153,1962
102,10.10.10.2,49153,1963.15
103,10.10.10.2,49153,1964.2
104,10.10.10.2,49153,1965.27
105,10.10.10.2,49153,1966.12
106,10.10.10.2,49153,1967
107,10.10.10.2,49153,1968.18
108,10.10.10.2,49153,1970.12
109,10.10.10.2,49153,1971
110,10.10.10.2,49153,1972.12
111,10.10.10.2,49153,1980.1
112,10.10.10.2,49153,1984.06
113,10.10.10.2,49153,1985.11
114,10.10.10.2,49153,1986.09
115,10.10.10.2,49153,1988.08
116,10.10.10.2,49153,1990.06
117,10.10.10.2,49153,1995.15
118,10.10.10.2,49153,1996
119,10.10.10.2,49153,1997
120,10.10.10.2,49153,1999.13
121,10.10.10.2,49153,2002.13
122,10.10.10.2,49153,2004.13
