n:1 mse_avg:52.61 mse_y:68.82 mse_u:19.23 mse_v:21.13 psnr_avg:30.92 psnr_y:29.75 psnr_u:35.29 psnr_v:34.88 
n:2 mse_avg:76.47 mse_y:103.95 mse_u:20.33 mse_v:22.68 psnr_avg:29.30 psnr_y:27.96 psnr_u:35.05 psnr_v:34.57 
n:3 mse_avg:75.80 mse_y:102.78 mse_u:20.56 mse_v:23.12 psnr_avg:29.33 psnr_y:28.01 psnr_u:35.00 psnr_v:34.49 
n:4 mse_avg:81.70 mse_y:110.73 mse_u:22.21 mse_v:25.09 psnr_avg:29.01 psnr_y:27.69 psnr_u:34.66 psnr_v:34.14 
n:5 mse_avg:71.08 mse_y:95.58 mse_u:20.62 mse_v:23.55 psnr_avg:29.61 psnr_y:28.33 psnr_u:34.99 psnr_v:34.41 
n:6 mse_avg:79.14 mse_y:106.10 mse_u:23.42 mse_v:27.04 psnr_avg:29.15 psnr_y:27.87 psnr_u:34.43 psnr_v:33.81 
n:7 mse_avg:79.46 mse_y:106.59 mse_u:23.43 mse_v:26.97 psnr_avg:29.13 psnr_y:27.85 psnr_u:34.43 psnr_v:33.82 
n:8 mse_avg:83.64 mse_y:112.36 mse_u:24.49 mse_v:27.91 psnr_avg:28.91 psnr_y:27.62 psnr_u:34.24 psnr_v:33.67 
n:9 mse_avg:71.65 mse_y:95.70 mse_u:22.21 mse_v:24.90 psnr_avg:29.58 psnr_y:28.32 psnr_u:34.67 psnr_v:34.17 
n:10 mse_avg:95.43 mse_y:129.65 mse_u:24.91 mse_v:29.06 psnr_avg:28.33 psnr_y:27.00 psnr_u:34.17 psnr_v:33.50 
n:11 mse_avg:101.13 mse_y:137.78 mse_u:25.27 mse_v:30.40 psnr_avg:28.08 psnr_y:26.74 psnr_u:34.11 psnr_v:33.30 
n:12 mse_avg:115.32 mse_y:157.17 mse_u:27.94 mse_v:35.32 psnr_avg:27.51 psnr_y:26.17 psnr_u:33.67 psnr_v:32.65 
n:13 mse_avg:126.15 mse_y:173.77 mse_u:26.87 mse_v:34.97 psnr_avg:27.12 psnr_y:25.73 psnr_u:33.84 psnr_v:32.69 
n:14 mse_avg:131.63 mse_y:180.18 mse_u:29.43 mse_v:39.64 psnr_avg:26.94 psnr_y:25.57 psnr_u:33.44 psnr_v:32.15 
n:15 mse_avg:139.36 mse_y:191.67 mse_u:29.11 mse_v:40.37 psnr_avg:26.69 psnr_y:25.31 psnr_u:33.49 psnr_v:32.07 
n:16 mse_avg:144.38 mse_y:197.91 mse_u:31.81 mse_v:42.85 psnr_avg:26.54 psnr_y:25.17 psnr_u:33.11 psnr_v:31.81 
n:17 mse_avg:139.45 mse_y:191.25 mse_u:30.27 mse_v:41.41 psnr_avg:26.69 psnr_y:25.31 psnr_u:33.32 psnr_v:31.96 
n:18 mse_avg:135.22 mse_y:184.06 mse_u:32.76 mse_v:42.33 psnr_avg:26.82 psnr_y:25.48 psnr_u:32.98 psnr_v:31.86 
n:19 mse_avg:129.25 mse_y:175.34 mse_u:31.97 mse_v:42.19 psnr_avg:27.02 psnr_y:25.69 psnr_u:33.08 psnr_v:31.88 
n:20 mse_avg:134.78 mse_y:182.97 mse_u:33.59 mse_v:43.18 psnr_avg:26.83 psnr_y:25.51 psnr_u:32.87 psnr_v:31.78 
