1,28.39,34.58,34.14
2,27.08,34.32,33.90
3,27.15,34.33,33.90
4,26.86,34.12,33.59
5,27.15,34.38,33.82
6,27.02,33.98,33.24
7,26.80,34.00,33.23
8,26.66,33.81,33.06
9,27.18,34.16,33.40
10,26.25,33.70,32.74
11,25.93,33.64,32.57
12,25.35,33.27,32.02
13,25.03,33.41,32.08
14,24.90,32.98,31.66
15,24.75,32.99,31.60
16,24.57,32.77,31.49
17,24.72,32.97,31.62
18,24.62,32.69,31.45
19,24.73,32.67,31.56
20,24.82,32.49,31.42
21,24.90,32.77,31.59
22,25.23,32.72,31.53
23,25.32,32.77,31.68
24,25.45,32.68,31.64
25,25.76,32.90,31.90
26,25.80,32.71,31.59
27,25.92,32.86,31.73
28,25.97,32.75,31.73
29,26.45,32.98,32.05
30,26.24,32.91,31.80
31,26.33,33.02,32.05
32,26.26,32.87,31.99
33,26.94,33.09,32.32
34,26.65,33.04,32.17
35,26.71,33.20,32.36
36,26.65,33.06,32.27
37,27.49,33.36,32.66
38,26.97,33.13,32.31
39,27.03,33.26,32.48
40,26.98,33.16,32.33
41,27.74,33.36,32.74
42,27.15,33.31,32.33
43,27.28,33.51,32.64
44,27.27,33.32,32.48
45,28.03,33.67,32.99
46,27.40,33.34,32.43
47,27.44,33.53,32.58
48,27.38,33.37,32.35
49,28.04,33.62,32.71
50,27.46,33.36,32.18
51,27.36,33.51,32.38
52,27.45,33.38,32.37
53,27.98,33.62,32.72
54,27.47,33.33,32.26
55,27.37,33.39,32.38
56,27.19,33.34,32.43
57,27.93,33.59,32.76
58,27.34,33.25,32.18
59,27.37,33.39,32.34
60,27.24,33.38,32.35
61,28.06,33.66,32.82
62,27.47,33.27,32.33
63,27.45,33.39,32.46
64,27.41,33.25,32.53
65,28.12,33.57,33.00
66,27.47,33.21,32.41
67,27.47,33.38,32.43
68,27.32,33.22,32.30
69,28.24,33.61,32.86
70,27.39,33.17,32.35
71,27.50,33.38,32.48
72,27.32,33.23,32.44
73,28.29,33.61,32.94
74,27.38,33.18,32.38
75,27.54,33.34,32.47
76,27.39,33.15,32.40
77,28.22,33.53,32.97
78,27.51,33.04,32.39
79,27.52,33.21,32.54
80,27.36,33.08,32.45
81,28.24,33.46,32.97
82,27.48,32.96,32.36
83,27.57,33.15,32.48
84,27.39,32.92,32.31
85,28.18,33.26,32.78
86,27.41,33.03,32.29
87,27.41,33.10,32.48
88,27.22,33.01,32.32
89,28.23,33.39,32.79
90,27.35,33.01,32.40
91,27.38,33.03,32.34
92,27.29,32.96,32.34
93,28.14,33.28,32.79
94,27.49,32.80,32.14
95,27.47,33.01,32.27
96,27.24,32.91,32.32
97,28.11,33.35,32.77
98,27.27,32.90,32.26
99,27.45,32.94,32.37
100,27.23,32.87,32.36
101,28.09,33.27,32.81
102,27.26,32.77,32.42
103,27.43,32.88,32.47
104,27.20,32.78,32.49
105,28.07,33.19,32.94
106,27.28,32.75,32.46
107,27.36,32.91,32.59
108,27.22,32.74,32.55
109,28.03,33.11,32.93
110,27.23,32.65,32.40
111,27.51,32.89,32.56
112,27.20,32.76,32.43
113,28.01,33.17,32.93
114,27.30,32.71,32.40
115,27.38,32.91,32.44
116,27.37,32.69,32.35
117,28.16,33.15,32.84
118,27.32,32.67,32.33
119,27.36,32.85,32.54
120,27.38,32.76,32.57
121,28.19,33.05,33.01
122,27.48,32.68,32.59
123,27.60,32.67,32.62
124,27.29,32.63,32.47
125,28.14,33.03,32.94
126,27.28,32.63,32.46
127,27.56,32.77,32.68
128,27.28,32.63,32.65
129,28.16,32.94,32.98
130,27.55,32.65,32.52
131,27.64,32.77,32.65
132,27.48,32.84,32.72
133,28.28,33.09,33.04
134,27.47,32.72,32.70
135,27.53,32.83,32.68
136,27.44,32.64,32.61
137,28.18,33.02,33.01
138,27.47,32.59,32.55
139,27.47,32.85,32.70
140,27.33,32.68,32.58
141,28.18,33.18,33.02
142,27.24,32.72,32.41
143,27.47,32.88,32.60
144,27.21,32.59,32.41
145,28.09,33.00,32.81
146,27.33,32.57,32.31
147,27.49,32.74,32.57
148,27.42,32.57,32.47
149,28.28,33.00,32.83
150,27.61,32.65,32.38
151,27.37,32.76,32.49
152,27.38,32.60,32.32
153,28.26,33.03,32.73
154,27.58,32.55,32.29
155,27.51,32.83,32.55
156,27.56,32.63,32.40
157,28.36,33.16,32.85
158,27.52,32.77,32.53
159,27.65,33.03,32.72
160,27.58,32.81,32.57
161,28.56,33.21,33.03
162,27.78,32.88,32.61
163,27.89,33.17,32.95
164,27.91,32.89,32.67
165,28.62,33.37,33.09
166,27.77,32.86,32.60
167,27.88,33.10,32.79
168,27.98,32.81,32.52
169,28.62,33.24,32.96
170,27.92,32.73,32.48
171,27.91,32.92,32.68
172,27.75,32.58,32.44
173,28.63,33.10,32.92
174,27.96,32.84,32.58
175,28.12,32.82,32.57
176,27.97,32.70,32.45
177,28.63,33.07,32.84
178,28.18,32.79,32.60
179,28.32,32.72,32.50
180,28.10,32.45,32.33
181,28.53,32.88,32.67
182,27.95,32.61,32.42
183,27.84,32.55,32.39
184,28.48,32.89,32.74
185,28.04,32.73,32.47
186,28.03,32.67,32.41
187,27.95,32.81,32.65
188,28.48,32.92,32.64
189,27.74,32.44,32.19
190,27.90,32.58,32.42
191,27.99,32.58,32.37
192,28.49,32.75,32.61
193,27.72,32.37,32.15
194,27.96,32.50,32.37
195,27.81,32.54,32.32
196,28.47,32.70,32.60
197,27.77,32.41,32.23
198,27.94,32.44,32.33
199,27.90,32.44,32.31
200,28.49,32.69,32.60
201,27.91,32.32,32.26
202,28.09,32.43,32.39
203,27.87,32.19,32.12
204,28.48,32.63,32.57
205,27.74,32.27,32.00
206,27.88,32.37,32.11
207,27.76,32.30,32.05
208,28.33,32.69,32.42
209,27.49,32.35,32.04
210,27.70,32.37,32.13
211,27.69,32.28,32.10
212,28.37,32.65,32.42
213,27.70,32.33,32.18
214,27.97,32.39,32.20
215,27.86,32.36,32.15
216,28.42,32.68,32.57
217,27.72,32.30,32.04
218,27.85,32.38,32.05
219,27.63,32.32,31.96
220,28.37,32.70,32.40
221,27.67,32.50,32.13
222,27.87,32.45,32.11
223,27.73,32.45,32.09
224,28.39,32.83,32.55
225,27.63,32.57,32.15
226,27.75,32.64,32.31
227,27.50,32.73,32.39
228,28.49,33.05,32.73
229,27.87,32.65,32.32
