timestamp,cpu_percent,memory_mb,memory_percent
2026-01-28 07:19:13.808,200,11.73,0.0
2026-01-28 07:19:13.894,120,24.48,0.1
2026-01-28 07:19:13.979,189,64.80,0.4
2026-01-28 07:19:14.083,360,70.02,0.4
2026-01-28 07:19:14.191,362,70.08,0.4
2026-01-28 07:19:14.294,404,70.16,0.4
2026-01-28 07:19:14.401,454,70.31,0.4
2026-01-28 07:19:14.509,492,70.37,0.4
2026-01-28 07:19:14.617,516,70.42,0.4
2026-01-28 07:19:14.730,527,70.50,0.4
2026-01-28 07:19:14.838,548,70.51,0.4
2026-01-28 07:19:14.950,563,70.53,0.4
2026-01-28 07:19:15.064,566,70.53,0.4
2026-01-28 07:19:15.173,575,70.54,0.4
2026-01-28 07:19:15.275,589,70.54,0.4
2026-01-28 07:19:15.383,604,70.54,0.4
2026-01-28 07:19:15.487,602,70.85,0.4
2026-01-28 07:19:15.594,607,70.95,0.4
2026-01-28 07:19:15.709,616,70.98,0.4
2026-01-28 07:19:15.821,624,71.01,0.4
2026-01-28 07:19:15.936,621,71.02,0.4
2026-01-28 07:19:16.043,627,71.05,0.4
2026-01-28 07:19:16.147,631,71.05,0.4
2026-01-28 07:19:16.262,641,71.07,0.4
2026-01-28 07:19:16.374,642,71.08,0.4
2026-01-28 07:19:16.486,646,71.08,0.4
2026-01-28 07:19:16.596,643,71.09,0.4
2026-01-28 07:19:16.699,646,71.10,0.4
2026-01-28 07:19:16.808,648,71.12,0.4
2026-01-28 07:19:16.918,648,71.12,0.4
2026-01-28 07:19:17.032,650,71.12,0.4
2026-01-28 07:19:17.143,646,71.15,0.4
2026-01-28 07:19:17.242,650,71.16,0.4
2026-01-28 07:19:17.357,653,71.16,0.4
2026-01-28 07:19:17.470,655,71.16,0.4
2026-01-28 07:19:17.581,656,71.16,0.4
2026-01-28 07:19:17.696,659,71.17,0.4
2026-01-28 07:19:17.800,666,71.19,0.4
2026-01-28 07:19:17.905,663,71.60,0.4
2026-01-28 07:19:17.997,667,71.89,0.4
2026-01-28 07:19:18.111,670,72.22,0.4
2026-01-28 07:19:18.208,667,72.36,0.4
2026-01-28 07:19:18.260,666,72.39,0.4
2026-01-28 07:19:18.300,667,72.40,0.4
2026-01-28 07:19:18.343,669,72.40,0.4
