201,19.68,28.80,28.36
202,19.73,28.79,28.31
203,19.65,28.72,28.20
204,19.73,28.77,28.25
205,19.69,28.79,28.24
206,19.69,28.75,28.21
207,19.62,28.69,28.15
208,19.69,28.78,28.23
209,19.52,28.66,28.11
210,19.56,28.69,28.05
211,19.51,28.68,28.08
212,19.59,28.72,28.11
213,19.39,28.60,27.98
214,19.53,28.73,28.17
215,19.52,28.67,28.16
216,19.64,28.71,28.20
217,19.58,28.66,28.17
218,19.52,28.64,28.11
219,19.62,28.61,28.09
220,19.75,28.66,28.11
221,19.68,28.61,28.16
222,19.56,28.70,28.15
223,19.57,28.67,28.09
224,19.64,28.74,28.18
225,19.54,28.69,28.11
226,19.54,28.74,28.06
227,19.52,28.73,28.07
228,19.53,28.77,28.01
229,19.60,28.76,28.09
230,19.72,28.74,28.08
231,19.68,28.76,28.15
232,19.74,28.81,28.15
233,19.67,28.84,28.15
234,19.73,28.83,28.15
235,19.66,28.76,28.17
236,19.78,28.88,28.16
237,19.75,28.79,28.08
238,19.72,28.73,28.08
239,19.70,28.63,28.09
240,19.78,28.70,28.06
241,19.70,28.63,28.05
242,19.72,28.70,28.07
243,19.60,28.64,28.03
244,19.70,28.71,28.10
245,19.64,28.64,28.07
246,19.63,28.70,28.11
247,19.72,28.66,28.17
248,19.79,28.74,28.13
249,19.67,28.66,28.00
250,19.77,28.60,27.95
251,21.64,30.43,30.03
252,21.42,30.34,29.91
253,21.28,30.32,29.74
254,21.22,30.09,29.50
255,21.26,30.19,29.52
256,21.25,30.02,29.49
257,21.20,30.03,29.49
258,21.28,29.97,29.43
259,21.25,30.01,29.39
260,21.06,29.86,29.22
261,20.93,29.78,29.02
262,20.71,29.68,28.84
263,21.03,29.90,29.11
264,21.13,29.73,29.09
265,20.97,29.67,29.00
266,21.04,29.68,29.05
267,21.09,29.86,29.13
268,21.11,29.63,28.90
269,20.98,29.60,28.89
270,20.80,29.40,28.69
271,21.09,29.61,28.98
272,21.00,29.39,28.74
273,20.99,29.45,28.74
274,21.04,29.27,28.63
275,20.98,29.34,28.73
276,20.97,29.17,28.63
277,20.56,29.08,28.36
278,20.54,29.17,28.51
279,20.88,29.07,28.45
280,20.99,29.23,28.72
281,21.01,28.95,28.46
282,20.99,29.01,28.48
283,20.83,28.97,28.40
284,21.08,29.13,28.71
285,20.95,29.02,28.58
286,20.94,29.09,28.52
287,20.76,28.90,28.30
288,21.00,29.03,28.48
289,20.73,28.91,28.26
290,20.67,28.96,28.26
291,20.72,28.81,28.13
292,20.76,28.96,28.33
293,20.54,28.83,28.10
294,20.51,28.87,28.15
295,20.39,28.75,27.98
296,20.40,28.83,27.98
297,20.27,28.65,27.77
298,20.28,28.66,27.80
299,20.04,28.53,27.60
300,20.30,28.57,27.75
