n:1 mse_avg:30.60 mse_y:39.13 mse_u:13.37 mse_v:13.72 psnr_avg:33.27 psnr_y:32.21 psnr_u:36.87 psnr_v:36.76 
n:2 mse_avg:51.52 mse_y:69.32 mse_u:15.30 mse_v:16.55 psnr_avg:31.01 psnr_y:29.72 psnr_u:36.28 psnr_v:35.94 
n:3 mse_avg:49.33 mse_y:65.91 mse_u:15.54 mse_v:16.81 psnr_avg:31.20 psnr_y:29.94 psnr_u:36.22 psnr_v:35.88 
n:4 mse_avg:56.08 mse_y:75.10 mse_u:17.06 mse_v:19.01 psnr_avg:30.64 psnr_y:29.37 psnr_u:35.81 psnr_v:35.34 
n:5 mse_avg:53.11 mse_y:71.30 mse_u:15.66 mse_v:17.81 psnr_avg:30.88 psnr_y:29.60 psnr_u:36.18 psnr_v:35.62 
n:6 mse_avg:55.98 mse_y:74.22 mse_u:18.42 mse_v:20.56 psnr_avg:30.65 psnr_y:29.43 psnr_u:35.48 psnr_v:35.00 
n:7 mse_avg:55.64 mse_y:73.66 mse_u:18.52 mse_v:20.70 psnr_avg:30.68 psnr_y:29.46 psnr_u:35.45 psnr_v:34.97 
n:8 mse_avg:59.64 mse_y:79.01 mse_u:19.57 mse_v:22.26 psnr_avg:30.38 psnr_y:29.15 psnr_u:35.22 psnr_v:34.66 
n:9 mse_avg:54.03 mse_y:71.64 mse_u:17.91 mse_v:19.67 psnr_avg:30.80 psnr_y:29.58 psnr_u:35.60 psnr_v:35.19 
n:10 mse_avg:59.66 mse_y:78.46 mse_u:20.80 mse_v:23.31 psnr_avg:30.37 psnr_y:29.18 psnr_u:34.95 psnr_v:34.46 
n:11 mse_avg:56.91 mse_y:74.17 mse_u:21.14 mse_v:23.63 psnr_avg:30.58 psnr_y:29.43 psnr_u:34.88 psnr_v:34.40 
n:12 mse_avg:61.82 mse_y:80.91 mse_u:22.25 mse_v:25.02 psnr_avg:30.22 psnr_y:29.05 psnr_u:34.66 psnr_v:34.15 
n:13 mse_avg:56.47 mse_y:73.71 mse_u:20.72 mse_v:23.24 psnr_avg:30.61 psnr_y:29.46 psnr_u:34.97 psnr_v:34.47 
