n:39 mse_avg:20.76 mse_y:24.73 mse_u:12.46 mse_v:13.22 psnr_avg:34.96 psnr_y:34.20 psnr_u:37.18 psnr_v:36.92 
n:40 mse_avg:23.58 mse_y:28.23 mse_u:13.69 mse_v:14.92 psnr_avg:34.40 psnr_y:33.62 psnr_u:36.77 psnr_v:36.39 
n:41 mse_avg:17.99 mse_y:21.10 mse_u:11.24 mse_v:12.30 psnr_avg:35.58 psnr_y:34.89 psnr_u:37.62 psnr_v:37.23 
n:42 mse_avg:23.25 mse_y:27.68 mse_u:13.67 mse_v:15.08 psnr_avg:34.47 psnr_y:33.71 psnr_u:36.77 psnr_v:36.35 
n:43 mse_avg:20.96 mse_y:24.96 mse_u:12.60 mse_v:13.33 psnr_avg:34.92 psnr_y:34.16 psnr_u:37.13 psnr_v:36.88 
n:44 mse_avg:23.19 mse_y:27.55 mse_u:13.65 mse_v:15.30 psnr_avg:34.48 psnr_y:33.73 psnr_u:36.78 psnr_v:36.28 
n:45 mse_avg:17.83 mse_y:20.90 mse_u:11.41 mse_v:12.02 psnr_avg:35.62 psnr_y:34.93 psnr_u:37.56 psnr_v:37.33 
n:46 mse_avg:22.76 mse_y:27.14 mse_u:13.30 mse_v:14.67 psnr_avg:34.56 psnr_y:33.79 psnr_u:36.89 psnr_v:36.47 
n:47 mse_avg:20.84 mse_y:24.82 mse_u:12.50 mse_v:13.29 psnr_avg:34.94 psnr_y:34.18 psnr_u:37.16 psnr_v:36.90 
n:48 mse_avg:22.76 mse_y:26.95 mse_u:13.63 mse_v:15.13 psnr_avg:34.56 psnr_y:33.83 psnr_u:36.79 psnr_v:36.33 
n:49 mse_avg:18.09 mse_y:21.26 mse_u:11.44 mse_v:12.04 psnr_avg:35.56 psnr_y:34.86 psnr_u:37.55 psnr_v:37.32 
n:50 mse_avg:22.69 mse_y:26.68 mse_u:13.96 mse_v:15.45 psnr_avg:34.57 psnr_y:33.87 psnr_u:36.68 psnr_v:36.24 
n:51 mse_avg:21.17 mse_y:24.90 mse_u:13.19 mse_v:14.26 psnr_avg:34.87 psnr_y:34.17 psnr_u:36.93 psnr_v:36.59 
n:52 mse_avg:23.11 mse_y:27.20 mse_u:14.30 mse_v:15.58 psnr_avg:34.49 psnr_y:33.78 psnr_u:36.58 psnr_v:36.21 
n:53 mse_avg:18.48 mse_y:21.57 mse_u:11.96 mse_v:12.64 psnr_avg:35.46 psnr_y:34.79 psnr_u:37.35 psnr_v:37.11 
n:54 mse_avg:23.26 mse_y:27.46 mse_u:13.97 mse_v:15.79 psnr_avg:34.46 psnr_y:33.74 psnr_u:36.68 psnr_v:36.15 
n:55 mse_avg:21.39 mse_y:25.28 mse_u:13.09 mse_v:14.12 psnr_avg:34.83 psnr_y:34.10 psnr_u:36.96 psnr_v:36.63 
n:56 mse_avg:23.50 mse_y:27.65 mse_u:14.18 mse_v:16.21 psnr_avg:34.42 psnr_y:33.71 psnr_u:36.61 psnr_v:36.03 
n:57 mse_avg:18.53 mse_y:21.65 mse_u:11.61 mse_v:13.00 psnr_avg:35.45 psnr_y:34.78 psnr_u:37.48 psnr_v:36.99 
n:58 mse_avg:23.56 mse_y:27.84 mse_u:14.14 mse_v:15.85 psnr_avg:34.41 psnr_y:33.68 psnr_u:36.63 psnr_v:36.13 
n:59 mse_avg:21.55 mse_y:25.46 mse_u:13.21 mse_v:14.22 psnr_avg:34.80 psnr_y:34.07 psnr_u:36.92 psnr_v:36.60 
n:60 mse_avg:23.80 mse_y:28.21 mse_u:14.16 mse_v:15.78 psnr_avg:34.37 psnr_y:33.63 psnr_u:36.62 psnr_v:36.15 
n:61 mse_avg:18.34 mse_y:21.46 mse_u:11.67 mse_v:12.51 psnr_avg:35.50 psnr_y:34.81 psnr_u:37.46 psnr_v:37.16 
n:62 mse_avg:23.80 mse_y:28.05 mse_u:14.45 mse_v:16.15 psnr_avg:34.37 psnr_y:33.65 psnr_u:36.53 psnr_v:36.05 
n:63 mse_avg:21.55 mse_y:25.47 mse_u:13.16 mse_v:14.24 psnr_avg:34.80 psnr_y:34.07 psnr_u:36.94 psnr_v:36.60 
n:64 mse_avg:23.99 mse_y:28.42 mse_u:14.36 mse_v:15.94 psnr_avg:34.33 psnr_y:33.59 psnr_u:36.56 psnr_v:36.11 
n:65 mse_avg:18.45 mse_y:21.60 mse_u:11.68 mse_v:12.63 psnr_avg:35.47 psnr_y:34.79 psnr_u:37.46 psnr_v:37.12 
n:66 mse_avg:24.38 mse_y:28.98 mse_u:14.30 mse_v:16.03 psnr_avg:34.26 psnr_y:33.51 psnr_u:36.58 psnr_v:36.08 
n:67 mse_avg:21.53 mse_y:25.46 mse_u:13.18 mse_v:14.15 psnr_avg:34.80 psnr_y:34.07 psnr_u:36.93 psnr_v:36.62 
n:68 mse_avg:24.48 mse_y:29.12 mse_u:14.57 mse_v:15.82 psnr_avg:34.24 psnr_y:33.49 psnr_u:36.50 psnr_v:36.14 
n:69 mse_avg:18.33 mse_y:21.46 mse_u:11.81 mse_v:12.32 psnr_avg:35.50 psnr_y:34.81 psnr_u:37.41 psnr_v:37.23 
n:70 mse_avg:24.81 mse_y:29.53 mse_u:14.82 mse_v:15.90 psnr_avg:34.18 psnr_y:33.43 psnr_u:36.42 psnr_v:36.12 
n:71 mse_avg:21.71 mse_y:25.56 mse_u:13.63 mse_v:14.40 psnr_avg:34.76 psnr_y:34.05 psnr_u:36.78 psnr_v:36.55 
n:72 mse_avg:24.72 mse_y:29.32 mse_u:14.80 mse_v:16.21 psnr_avg:34.20 psnr_y:33.46 psnr_u:36.43 psnr_v:36.03 
n:73 mse_avg:18.48 mse_y:21.61 mse_u:12.05 mse_v:12.43 psnr_avg:35.46 psnr_y:34.79 psnr_u:37.32 psnr_v:37.18 
n:74 mse_avg:24.77 mse_y:29.41 mse_u:14.74 mse_v:16.27 psnr_avg:34.19 psnr_y:33.45 psnr_u:36.45 psnr_v:36.02 
n:75 mse_avg:21.84 mse_y:25.74 mse_u:13.70 mse_v:14.38 psnr_avg:34.74 psnr_y:34.02 psnr_u:36.76 psnr_v:36.55 
n:76 mse_avg:24.63 mse_y:29.18 mse_u:14.92 mse_v:16.15 psnr_avg:34.22 psnr_y:33.48 psnr_u:36.39 psnr_v:36.05 
n:77 mse_avg:18.78 mse_y:22.09 mse_u:11.94 mse_v:12.39 psnr_avg:35.39 psnr_y:34.69 psnr_u:37.36 psnr_v:37.20 
n:78 mse_avg:24.84 mse_y:29.51 mse_u:14.88 mse_v:16.11 psnr_avg:34.18 psnr_y:33.43 psnr_u:36.41 psnr_v:36.06 
n:79 mse_avg:22.12 mse_y:26.26 mse_u:13.47 mse_v:14.19 psnr_avg:34.68 psnr_y:33.94 psnr_u:36.84 psnr_v:36.61 
n:80 mse_avg:24.80 mse_y:29.43 mse_u:14.80 mse_v:16.26 psnr_avg:34.19 psnr_y:33.44 psnr_u:36.43 psnr_v:36.02 
n:81 mse_avg:18.75 mse_y:21.94 mse_u:12.07 mse_v:12.63 psnr_avg:35.40 psnr_y:34.72 psnr_u:37.31 psnr_v:37.12 
n:82 mse_avg:24.83 mse_y:29.65 mse_u:14.87 mse_v:15.54 psnr_avg:34.18 psnr_y:33.41 psnr_u:36.41 psnr_v:36.22 
n:83 mse_avg:22.06 mse_y:26.08 mse_u:13.92 mse_v:14.11 psnr_avg:34.69 psnr_y:33.97 psnr_u:36.69 psnr_v:36.63 
n:84 mse_avg:24.60 mse_y:29.07 mse_u:15.24 mse_v:16.05 psnr_avg:34.22 psnr_y:33.50 psnr_u:36.30 psnr_v:36.08 
n:85 mse_avg:18.98 mse_y:22.19 mse_u:12.43 mse_v:12.66 psnr_avg:35.35 psnr_y:34.67 psnr_u:37.18 psnr_v:37.11 
n:86 mse_avg:24.63 mse_y:29.14 mse_u:15.24 mse_v:15.97 psnr_avg:34.22 psnr_y:33.49 psnr_u:36.30 psnr_v:36.10 
n:87 mse_avg:22.34 mse_y:26.39 mse_u:14.15 mse_v:14.31 psnr_avg:34.64 psnr_y:33.92 psnr_u:36.62 psnr_v:36.57 
n:88 mse_avg:25.03 mse_y:29.71 mse_u:15.37 mse_v:15.94 psnr_avg:34.15 psnr_y:33.40 psnr_u:36.26 psnr_v:36.11 
n:89 mse_avg:19.03 mse_y:22.15 mse_u:12.73 mse_v:12.87 psnr_avg:35.34 psnr_y:34.68 psnr_u:37.08 psnr_v:37.04 
n:90 mse_avg:24.90 mse_y:29.48 mse_u:15.56 mse_v:15.93 psnr_avg:34.17 psnr_y:33.44 psnr_u:36.21 psnr_v:36.11 
