n:1 mse_avg:171.00 mse_y:237.88 mse_u:34.52 mse_v:39.97 psnr_avg:25.80 psnr_y:24.37 psnr_u:32.75 psnr_v:32.11 
n:2 mse_avg:188.22 mse_y:263.15 mse_u:35.61 mse_v:41.09 psnr_avg:25.38 psnr_y:23.93 psnr_u:32.61 psnr_v:31.99 
n:3 mse_avg:188.61 mse_y:263.92 mse_u:34.97 mse_v:41.01 psnr_avg:25.38 psnr_y:23.92 psnr_u:32.69 psnr_v:32.00 
n:4 mse_avg:192.51 mse_y:268.89 mse_u:36.30 mse_v:43.20 psnr_avg:25.29 psnr_y:23.84 psnr_u:32.53 psnr_v:31.78 
n:5 mse_avg:205.75 mse_y:288.84 mse_u:35.35 mse_v:43.76 psnr_avg:25.00 psnr_y:23.52 psnr_u:32.65 psnr_v:31.72 
n:6 mse_avg:194.72 mse_y:271.60 mse_u:36.75 mse_v:45.15 psnr_avg:25.24 psnr_y:23.79 psnr_u:32.48 psnr_v:31.58 
n:7 mse_avg:198.64 mse_y:277.48 mse_u:36.60 mse_v:45.30 psnr_avg:25.15 psnr_y:23.70 psnr_u:32.50 psnr_v:31.57 
n:8 mse_avg:201.95 mse_y:281.54 mse_u:38.02 mse_v:47.53 psnr_avg:25.08 psnr_y:23.64 psnr_u:32.33 psnr_v:31.36 
n:9 mse_avg:205.53 mse_y:287.56 mse_u:36.72 mse_v:46.24 psnr_avg:25.00 psnr_y:23.54 psnr_u:32.48 psnr_v:31.48 
n:10 mse_avg:201.11 mse_y:280.34 mse_u:38.02 mse_v:47.27 psnr_avg:25.10 psnr_y:23.65 psnr_u:32.33 psnr_v:31.38 
n:11 mse_avg:203.85 mse_y:284.37 mse_u:38.21 mse_v:47.40 psnr_avg:25.04 psnr_y:23.59 psnr_u:32.31 psnr_v:31.37 
n:12 mse_avg:209.75 mse_y:292.37 mse_u:39.64 mse_v:49.37 psnr_avg:24.91 psnr_y:23.47 psnr_u:32.15 psnr_v:31.20 
n:13 mse_avg:213.27 mse_y:297.94 mse_u:38.91 mse_v:48.94 psnr_avg:24.84 psnr_y:23.39 psnr_u:32.23 psnr_v:31.23 
n:14 mse_avg:207.60 mse_y:288.41 mse_u:40.39 mse_v:51.60 psnr_avg:24.96 psnr_y:23.53 psnr_u:32.07 psnr_v:31.00 
n:15 mse_avg:207.03 mse_y:288.01 mse_u:39.73 mse_v:50.40 psnr_avg:24.97 psnr_y:23.54 psnr_u:32.14 psnr_v:31.11 
n:16 mse_avg:210.65 mse_y:292.31 mse_u:41.46 mse_v:53.19 psnr_avg:24.90 psnr_y:23.47 psnr_u:31.95 psnr_v:30.87 
n:17 mse_avg:219.21 mse_y:305.44 mse_u:40.93 mse_v:52.54 psnr_avg:24.72 psnr_y:23.28 psnr_u:32.01 psnr_v:30.93 
n:18 mse_avg:216.49 mse_y:300.63 mse_u:42.17 mse_v:54.26 psnr_avg:24.78 psnr_y:23.35 psnr_u:31.88 psnr_v:30.79 
n:19 mse_avg:214.81 mse_y:298.32 mse_u:41.51 mse_v:54.05 psnr_avg:24.81 psnr_y:23.38 psnr_u:31.95 psnr_v:30.80 
n:20 mse_avg:217.62 mse_y:301.69 mse_u:43.21 mse_v:55.76 psnr_avg:24.75 psnr_y:23.34 psnr_u:31.77 psnr_v:30.67 
n:21 mse_avg:224.98 mse_y:313.17 mse_u:42.19 mse_v:55.03 psnr_avg:24.61 psnr_y:23.17 psnr_u:31.88 psnr_v:30.72 
n:22 mse_avg:216.15 mse_y:299.95 mse_u:42.49 mse_v:54.61 psnr_avg:24.78 psnr_y:23.36 psnr_u:31.85 psnr_v:30.76 
n:23 mse_avg:214.68 mse_y:298.03 mse_u:42.22 mse_v:53.73 psnr_avg:24.81 psnr_y:23.39 psnr_u:31.88 psnr_v:30.83 
n:24 mse_avg:214.05 mse_y:296.27 mse_u:44.18 mse_v:55.03 psnr_avg:24.83 psnr_y:23.41 psnr_u:31.68 psnr_v:30.72 
n:25 mse_avg:218.07 mse_y:302.53 mse_u:43.56 mse_v:54.73 psnr_avg:24.74 psnr_y:23.32 psnr_u:31.74 psnr_v:30.75 
n:26 mse_avg:213.54 mse_y:295.34 mse_u:43.78 mse_v:56.11 psnr_avg:24.84 psnr_y:23.43 psnr_u:31.72 psnr_v:30.64 
n:27 mse_avg:212.24 mse_y:294.26 mse_u:42.16 mse_v:54.24 psnr_avg:24.86 psnr_y:23.44 psnr_u:31.88 psnr_v:30.79 
n:28 mse_avg:215.93 mse_y:299.30 mse_u:42.62 mse_v:55.78 psnr_avg:24.79 psnr_y:23.37 psnr_u:31.83 psnr_v:30.67 
n:29 mse_avg:220.90 mse_y:307.16 mse_u:42.21 mse_v:54.56 psnr_avg:24.69 psnr_y:23.26 psnr_u:31.88 psnr_v:30.76 
n:30 mse_avg:217.73 mse_y:301.85 mse_u:42.59 mse_v:56.37 psnr_avg:24.75 psnr_y:23.33 psnr_u:31.84 psnr_v:30.62 
