n:1 mse_avg:402.53 mse_y:579.75 mse_u:44.13 mse_v:52.09 psnr_avg:22.08 psnr_y:20.50 psnr_u:31.68 psnr_v:30.96 
n:2 mse_avg:418.05 mse_y:602.42 mse_u:44.68 mse_v:53.97 psnr_avg:21.92 psnr_y:20.33 psnr_u:31.63 psnr_v:30.81 
n:3 mse_avg:424.35 mse_y:611.76 mse_u:44.69 mse_v:54.36 psnr_avg:21.85 psnr_y:20.27 psnr_u:31.63 psnr_v:30.78 
n:4 mse_avg:429.04 mse_y:618.19 mse_u:45.23 mse_v:56.23 psnr_avg:21.81 psnr_y:20.22 psnr_u:31.58 psnr_v:30.63 
n:5 mse_avg:440.69 mse_y:635.35 mse_u:45.11 mse_v:57.62 psnr_avg:21.69 psnr_y:20.10 psnr_u:31.59 psnr_v:30.53 
n:6 mse_avg:432.56 mse_y:622.45 mse_u:45.52 mse_v:60.05 psnr_avg:21.77 psnr_y:20.19 psnr_u:31.55 psnr_v:30.35 
n:7 mse_avg:438.08 mse_y:630.72 mse_u:46.05 mse_v:59.54 psnr_avg:21.72 psnr_y:20.13 psnr_u:31.50 psnr_v:30.38 
n:8 mse_avg:442.10 mse_y:636.26 mse_u:46.61 mse_v:60.92 psnr_avg:21.68 psnr_y:20.09 psnr_u:31.45 psnr_v:30.28 
n:9 mse_avg:453.23 mse_y:652.79 mse_u:46.75 mse_v:61.47 psnr_avg:21.57 psnr_y:19.98 psnr_u:31.43 psnr_v:30.24 
n:10 mse_avg:443.18 mse_y:637.06 mse_u:47.20 mse_v:63.65 psnr_avg:21.66 psnr_y:20.09 psnr_u:31.39 psnr_v:30.09 
n:11 mse_avg:453.14 mse_y:651.99 mse_u:47.42 mse_v:63.46 psnr_avg:21.57 psnr_y:19.99 psnr_u:31.37 psnr_v:30.11 
n:12 mse_avg:456.35 mse_y:655.76 mse_u:48.54 mse_v:66.53 psnr_avg:21.54 psnr_y:19.96 psnr_u:31.27 psnr_v:29.90 
n:13 mse_avg:465.59 mse_y:669.35 mse_u:49.54 mse_v:66.58 psnr_avg:21.45 psnr_y:19.87 psnr_u:31.18 psnr_v:29.90 
n:14 mse_avg:452.67 mse_y:649.47 mse_u:49.58 mse_v:68.59 psnr_avg:21.57 psnr_y:20.01 psnr_u:31.18 psnr_v:29.77 
n:15 mse_avg:456.49 mse_y:654.81 mse_u:49.68 mse_v:69.99 psnr_avg:21.54 psnr_y:19.97 psnr_u:31.17 psnr_v:29.68 
n:16 mse_avg:454.99 mse_y:652.04 mse_u:50.62 mse_v:71.19 psnr_avg:21.55 psnr_y:19.99 psnr_u:31.09 psnr_v:29.61 
n:17 mse_avg:469.04 mse_y:673.04 mse_u:50.54 mse_v:71.50 psnr_avg:21.42 psnr_y:19.85 psnr_u:31.09 psnr_v:29.59 
n:18 mse_avg:463.04 mse_y:663.73 mse_u:51.95 mse_v:71.36 psnr_avg:21.47 psnr_y:19.91 psnr_u:30.97 psnr_v:29.60 
n:19 mse_avg:465.94 mse_y:667.68 mse_u:52.28 mse_v:72.63 psnr_avg:21.45 psnr_y:19.89 psnr_u:30.95 psnr_v:29.52 
n:20 mse_avg:468.46 mse_y:671.36 mse_u:53.28 mse_v:72.07 psnr_avg:21.42 psnr_y:19.86 psnr_u:30.87 psnr_v:29.55 
n:21 mse_avg:479.33 mse_y:688.09 mse_u:51.95 mse_v:71.64 psnr_avg:21.32 psnr_y:19.75 psnr_u:30.97 psnr_v:29.58 
n:22 mse_avg:464.08 mse_y:664.56 mse_u:52.46 mse_v:73.80 psnr_avg:21.46 psnr_y:19.91 psnr_u:30.93 psnr_v:29.45 
n:23 mse_avg:465.20 mse_y:666.39 mse_u:52.95 mse_v:72.74 psnr_avg:21.45 psnr_y:19.89 psnr_u:30.89 psnr_v:29.51 
n:24 mse_avg:461.60 mse_y:660.62 mse_u:54.20 mse_v:72.94 psnr_avg:21.49 psnr_y:19.93 psnr_u:30.79 psnr_v:29.50 
n:25 mse_avg:468.97 mse_y:671.63 mse_u:54.16 mse_v:73.11 psnr_avg:21.42 psnr_y:19.86 psnr_u:30.79 psnr_v:29.49 
n:26 mse_avg:461.71 mse_y:660.45 mse_u:54.51 mse_v:73.92 psnr_avg:21.49 psnr_y:19.93 psnr_u:30.77 psnr_v:29.44 
n:27 mse_avg:463.45 mse_y:663.04 mse_u:53.58 mse_v:75.00 psnr_avg:21.47 psnr_y:19.92 psnr_u:30.84 psnr_v:29.38 
n:28 mse_avg:464.27 mse_y:664.28 mse_u:53.94 mse_v:74.59 psnr_avg:21.46 psnr_y:19.91 psnr_u:30.81 psnr_v:29.40 
n:29 mse_avg:473.51 mse_y:677.90 mse_u:54.07 mse_v:75.39 psnr_avg:21.38 psnr_y:19.82 psnr_u:30.80 psnr_v:29.36 
n:30 mse_avg:469.10 mse_y:671.19 mse_u:53.75 mse_v:76.12 psnr_avg:21.42 psnr_y:19.86 psnr_u:30.83 psnr_v:29.32 
n:31 mse_avg:475.38 mse_y:680.09 mse_u:53.93 mse_v:77.99 psnr_avg:21.36 psnr_y:19.81 psnr_u:30.81 psnr_v:29.21 
n:32 mse_avg:468.82 mse_y:670.73 mse_u:53.98 mse_v:76.03 psnr_avg:21.42 psnr_y:19.87 psnr_u:30.81 psnr_v:29.32 
n:33 mse_avg:475.17 mse_y:680.33 mse_u:53.49 mse_v:76.24 psnr_avg:21.36 psnr_y:19.80 psnr_u:30.85 psnr_v:29.31 
n:34 mse_avg:469.72 mse_y:672.74 mse_u:54.21 mse_v:73.13 psnr_avg:21.41 psnr_y:19.85 psnr_u:30.79 psnr_v:29.49 
n:35 mse_avg:472.76 mse_y:676.82 mse_u:54.80 mse_v:74.50 psnr_avg:21.38 psnr_y:19.83 psnr_u:30.74 psnr_v:29.41 
n:36 mse_avg:471.33 mse_y:674.42 mse_u:55.97 mse_v:74.30 psnr_avg:21.40 psnr_y:19.84 psnr_u:30.65 psnr_v:29.42 
n:37 mse_avg:475.88 mse_y:681.02 mse_u:56.16 mse_v:75.01 psnr_avg:21.36 psnr_y:19.80 psnr_u:30.64 psnr_v:29.38 
n:38 mse_avg:471.99 mse_y:675.34 mse_u:55.92 mse_v:74.65 psnr_avg:21.39 psnr_y:19.84 psnr_u:30.66 psnr_v:29.40 
n:39 mse_avg:475.04 mse_y:679.15 mse_u:56.71 mse_v:76.95 psnr_avg:21.36 psnr_y:19.81 psnr_u:30.59 psnr_v:29.27 
n:40 mse_avg:475.69 mse_y:680.17 mse_u:56.07 mse_v:77.41 psnr_avg:21.36 psnr_y:19.80 psnr_u:30.64 psnr_v:29.24 
n:41 mse_avg:484.54 mse_y:692.75 mse_u:56.19 mse_v:80.07 psnr_avg:21.28 psnr_y:19.73 psnr_u:30.63 psnr_v:29.10 
n:42 mse_avg:474.71 mse_y:678.49 mse_u:57.43 mse_v:76.88 psnr_avg:21.37 psnr_y:19.82 psnr_u:30.54 psnr_v:29.27 
n:43 mse_avg:471.04 mse_y:672.78 mse_u:58.64 mse_v:76.47 psnr_avg:21.40 psnr_y:19.85 psnr_u:30.45 psnr_v:29.30 
n:44 mse_avg:467.20 mse_y:666.97 mse_u:57.82 mse_v:77.50 psnr_avg:21.44 psnr_y:19.89 psnr_u:30.51 psnr_v:29.24 
n:45 mse_avg:485.35 mse_y:694.07 mse_u:56.71 mse_v:79.09 psnr_avg:21.27 psnr_y:19.72 psnr_u:30.59 psnr_v:29.15 
n:46 mse_avg:474.38 mse_y:677.61 mse_u:56.83 mse_v:79.02 psnr_avg:21.37 psnr_y:19.82 psnr_u:30.58 psnr_v:29.15 
n:47 mse_avg:482.94 mse_y:690.05 mse_u:57.69 mse_v:79.73 psnr_avg:21.29 psnr_y:19.74 psnr_u:30.52 psnr_v:29.11 
n:48 mse_avg:486.08 mse_y:694.74 mse_u:57.49 mse_v:80.03 psnr_avg:21.26 psnr_y:19.71 psnr_u:30.54 psnr_v:29.10 
n:49 mse_avg:495.46 mse_y:708.18 mse_u:57.68 mse_v:82.38 psnr_avg:21.18 psnr_y:19.63 psnr_u:30.52 psnr_v:28.97 
n:50 mse_avg:484.36 mse_y:691.96 mse_u:56.79 mse_v:81.52 psnr_avg:21.28 psnr_y:19.73 psnr_u:30.59 psnr_v:29.02 
n:51 mse_avg:489.36 mse_y:698.90 mse_u:57.82 mse_v:82.78 psnr_avg:21.23 psnr_y:19.69 psnr_u:30.51 psnr_v:28.95 
n:52 mse_avg:486.73 mse_y:694.76 mse_u:59.30 mse_v:82.04 psnr_avg:21.26 psnr_y:19.71 psnr_u:30.40 psnr_v:28.99 
n:53 mse_avg:502.33 mse_y:717.45 mse_u:60.06 mse_v:84.12 psnr_avg:21.12 psnr_y:19.57 psnr_u:30.35 psnr_v:28.88 
n:54 mse_avg:494.42 mse_y:706.19 mse_u:58.69 mse_v:83.08 psnr_avg:21.19 psnr_y:19.64 psnr_u:30.45 psnr_v:28.94 
n:55 mse_avg:495.05 mse_y:706.61 mse_u:59.90 mse_v:83.97 psnr_avg:21.18 psnr_y:19.64 psnr_u:30.36 psnr_v:28.89 
n:56 mse_avg:499.24 mse_y:712.69 mse_u:61.27 mse_v:83.40 psnr_avg:21.15 psnr_y:19.60 psnr_u:30.26 psnr_v:28.92 
n:57 mse_avg:509.89 mse_y:728.30 mse_u:62.44 mse_v:83.70 psnr_avg:21.06 psnr_y:19.51 psnr_u:30.18 psnr_v:28.90 
n:58 mse_avg:492.14 mse_y:702.39 mse_u:60.06 mse_v:83.23 psnr_avg:21.21 psnr_y:19.67 psnr_u:30.35 psnr_v:28.93 
n:59 mse_avg:494.83 mse_y:705.53 mse_u:61.67 mse_v:85.17 psnr_avg:21.19 psnr_y:19.65 psnr_u:30.23 psnr_v:28.83 
n:60 mse_avg:499.30 mse_y:712.37 mse_u:61.09 mse_v:85.21 psnr_avg:21.15 psnr_y:19.60 psnr_u:30.27 psnr_v:28.83 
n:61 mse_avg:517.52 mse_y:739.11 mse_u:62.35 mse_v:86.32 psnr_avg:20.99 psnr_y:19.44 psnr_u:30.18 psnr_v:28.77 
n:62 mse_avg:493.49 mse_y:703.37 mse_u:61.71 mse_v:85.72 psnr_avg:21.20 psnr_y:19.66 psnr_u:30.23 psnr_v:28.80 
n:63 mse_avg:496.92 mse_y:708.17 mse_u:61.77 mse_v:87.06 psnr_avg:21.17 psnr_y:19.63 psnr_u:30.22 psnr_v:28.73 
n:64 mse_avg:500.90 mse_y:714.17 mse_u:63.21 mse_v:85.52 psnr_avg:21.13 psnr_y:19.59 psnr_u:30.12 psnr_v:28.81 
n:65 mse_avg:515.17 mse_y:734.95 mse_u:64.33 mse_v:86.87 psnr_avg:21.01 psnr_y:19.47 psnr_u:30.05 psnr_v:28.74 
n:66 mse_avg:503.32 mse_y:717.97 mse_u:62.07 mse_v:85.96 psnr_avg:21.11 psnr_y:19.57 psnr_u:30.20 psnr_v:28.79 
n:67 mse_avg:507.52 mse_y:723.79 mse_u:62.95 mse_v:86.99 psnr_avg:21.08 psnr_y:19.53 psnr_u:30.14 psnr_v:28.74 
n:68 mse_avg:506.93 mse_y:723.03 mse_u:63.01 mse_v:86.44 psnr_avg:21.08 psnr_y:19.54 psnr_u:30.14 psnr_v:28.76 
n:69 mse_avg:520.87 mse_y:743.36 mse_u:64.99 mse_v:86.80 psnr_avg:20.96 psnr_y:19.42 psnr_u:30.00 psnr_v:28.75 
n:70 mse_avg:506.76 mse_y:722.95 mse_u:63.66 mse_v:85.09 psnr_avg:21.08 psnr_y:19.54 psnr_u:30.09 psnr_v:28.83 
n:71 mse_avg:512.50 mse_y:731.22 mse_u:64.73 mse_v:85.38 psnr_avg:21.03 psnr_y:19.49 psnr_u:30.02 psnr_v:28.82 
n:72 mse_avg:513.80 mse_y:733.04 mse_u:65.23 mse_v:85.43 psnr_avg:21.02 psnr_y:19.48 psnr_u:29.99 psnr_v:28.81 
n:73 mse_avg:529.57 mse_y:756.23 mse_u:66.20 mse_v:86.30 psnr_avg:20.89 psnr_y:19.34 psnr_u:29.92 psnr_v:28.77 
n:74 mse_avg:508.96 mse_y:726.13 mse_u:64.35 mse_v:84.86 psnr_avg:21.06 psnr_y:19.52 psnr_u:30.05 psnr_v:28.84 
n:75 mse_avg:512.96 mse_y:731.94 mse_u:64.52 mse_v:85.47 psnr_avg:21.03 psnr_y:19.49 psnr_u:30.03 psnr_v:28.81 
n:76 mse_avg:516.92 mse_y:737.77 mse_u:64.92 mse_v:85.54 psnr_avg:21.00 psnr_y:19.45 psnr_u:30.01 psnr_v:28.81 
n:77 mse_avg:529.39 mse_y:756.25 mse_u:66.27 mse_v:85.08 psnr_avg:20.89 psnr_y:19.34 psnr_u:29.92 psnr_v:28.83 
n:78 mse_avg:509.54 mse_y:727.02 mse_u:65.51 mse_v:83.68 psnr_avg:21.06 psnr_y:19.52 psnr_u:29.97 psnr_v:28.90 
n:79 mse_avg:518.45 mse_y:739.72 mse_u:65.99 mse_v:85.82 psnr_avg:20.98 psnr_y:19.44 psnr_u:29.94 psnr_v:28.79 
n:80 mse_avg:520.13 mse_y:742.40 mse_u:66.92 mse_v:84.23 psnr_avg:20.97 psnr_y:19.42 psnr_u:29.88 psnr_v:28.88 
n:81 mse_avg:536.17 mse_y:766.94 mse_u:66.35 mse_v:82.87 psnr_avg:20.84 psnr_y:19.28 psnr_u:29.91 psnr_v:28.95 
n:82 mse_avg:514.94 mse_y:734.59 mse_u:66.34 mse_v:84.93 psnr_avg:21.01 psnr_y:19.47 psnr_u:29.91 psnr_v:28.84 
n:83 mse_avg:520.25 mse_y:741.97 mse_u:67.78 mse_v:85.85 psnr_avg:20.97 psnr_y:19.43 psnr_u:29.82 psnr_v:28.79 
n:84 mse_avg:523.23 mse_y:746.67 mse_u:67.79 mse_v:84.92 psnr_avg:20.94 psnr_y:19.40 psnr_u:29.82 psnr_v:28.84 
n:85 mse_avg:539.46 mse_y:770.59 mse_u:68.89 mse_v:85.52 psnr_avg:20.81 psnr_y:19.26 psnr_u:29.75 psnr_v:28.81 
