n:1 mse_avg:0.13 mse_y:0.15 mse_u:0.10 mse_v:0.10 psnr_avg:56.88 psnr_y:56.36 psnr_u:58.05 psnr_v:58.27 
n:2 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.36 psnr_y:55.86 psnr_u:57.58 psnr_v:57.58 
n:3 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.41 psnr_y:55.91 psnr_u:57.56 psnr_v:57.73 
n:4 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.41 psnr_y:55.91 psnr_u:57.66 psnr_v:57.61 
n:5 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.44 psnr_y:55.94 psnr_u:57.61 psnr_v:57.76 
n:6 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.41 psnr_y:55.92 psnr_u:57.54 psnr_v:57.63 
n:7 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.41 psnr_y:55.86 psnr_u:57.80 psnr_v:57.76 
n:8 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.39 psnr_y:55.86 psnr_u:57.71 psnr_v:57.69 
n:9 mse_avg:0.14 mse_y:0.16 mse_u:0.11 mse_v:0.11 psnr_avg:56.56 psnr_y:56.08 psnr_u:57.68 psnr_v:57.76 
n:10 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.41 psnr_y:55.93 psnr_u:57.58 psnr_v:57.58 
n:11 mse_avg:0.15 mse_y:0.16 mse_u:0.11 mse_v:0.12 psnr_avg:56.47 psnr_y:55.99 psnr_u:57.74 psnr_v:57.52 
n:12 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.38 psnr_y:55.86 psnr_u:57.55 psnr_v:57.74 
n:13 mse_avg:0.14 mse_y:0.16 mse_u:0.11 mse_v:0.11 psnr_avg:56.54 psnr_y:56.05 psnr_u:57.73 psnr_v:57.73 
n:14 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.38 psnr_y:55.86 psnr_u:57.67 psnr_v:57.62 
n:15 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.37 psnr_y:55.84 psnr_u:57.65 psnr_v:57.72 
n:16 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.40 psnr_y:55.88 psnr_u:57.57 psnr_v:57.77 
n:17 mse_avg:0.14 mse_y:0.16 mse_u:0.11 mse_v:0.11 psnr_avg:56.52 psnr_y:56.06 psnr_u:57.60 psnr_v:57.65 
n:18 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.36 psnr_y:55.85 psnr_u:57.60 psnr_v:57.59 
n:19 mse_avg:0.15 mse_y:0.16 mse_u:0.11 mse_v:0.11 psnr_avg:56.50 psnr_y:56.01 psnr_u:57.72 psnr_v:57.64 
n:20 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.37 psnr_y:55.88 psnr_u:57.57 psnr_v:57.53 
n:21 mse_avg:0.14 mse_y:0.16 mse_u:0.11 mse_v:0.11 psnr_avg:56.58 psnr_y:56.09 psnr_u:57.82 psnr_v:57.73 
n:22 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.33 psnr_y:55.82 psnr_u:57.58 psnr_v:57.56 
n:23 mse_avg:0.15 mse_y:0.16 mse_u:0.11 mse_v:0.11 psnr_avg:56.50 psnr_y:56.04 psnr_u:57.57 psnr_v:57.61 
n:24 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.36 psnr_y:55.85 psnr_u:57.67 psnr_v:57.55 
n:25 mse_avg:0.15 mse_y:0.16 mse_u:0.11 mse_v:0.11 psnr_avg:56.51 psnr_y:56.01 psnr_u:57.58 psnr_v:57.84 
n:26 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.41 psnr_y:55.89 psnr_u:57.63 psnr_v:57.74 
n:27 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.41 psnr_y:55.90 psnr_u:57.64 psnr_v:57.65 
n:28 mse_avg:0.15 mse_y:0.17 mse_u:0.12 mse_v:0.11 psnr_avg:56.34 psnr_y:55.84 psnr_u:57.47 psnr_v:57.62 
n:29 mse_avg:0.15 mse_y:0.16 mse_u:0.11 mse_v:0.11 psnr_avg:56.50 psnr_y:56.01 psnr_u:57.58 psnr_v:57.76 
n:30 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.40 psnr_y:55.86 psnr_u:57.77 psnr_v:57.65 
n:31 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.44 psnr_y:55.93 psnr_u:57.67 psnr_v:57.69 
n:32 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.12 psnr_avg:56.32 psnr_y:55.80 psnr_u:57.70 psnr_v:57.50 
n:33 mse_avg:0.14 mse_y:0.16 mse_u:0.11 mse_v:0.11 psnr_avg:56.52 psnr_y:56.02 psnr_u:57.72 psnr_v:57.76 
n:34 mse_avg:0.15 mse_y:0.17 mse_u:0.12 mse_v:0.11 psnr_avg:56.30 psnr_y:55.80 psnr_u:57.51 psnr_v:57.52 
n:35 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.40 psnr_y:55.86 psnr_u:57.77 psnr_v:57.70 
n:36 mse_avg:0.15 mse_y:0.17 mse_u:0.12 mse_v:0.11 psnr_avg:56.35 psnr_y:55.87 psnr_u:57.39 psnr_v:57.59 
n:37 mse_avg:0.15 mse_y:0.16 mse_u:0.11 mse_v:0.11 psnr_avg:56.46 psnr_y:55.97 psnr_u:57.62 psnr_v:57.70 
n:38 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.44 psnr_y:55.94 psnr_u:57.59 psnr_v:57.71 
n:39 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.43 psnr_y:55.94 psnr_u:57.61 psnr_v:57.64 
n:40 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.38 psnr_y:55.87 psnr_u:57.63 psnr_v:57.62 
n:41 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.49 psnr_y:55.95 psnr_u:57.81 psnr_v:57.83 
n:42 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.34 psnr_y:55.84 psnr_u:57.56 psnr_v:57.55 
n:43 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.47 psnr_y:55.94 psnr_u:57.76 psnr_v:57.76 
n:44 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.39 psnr_y:55.85 psnr_u:57.68 psnr_v:57.76 
n:45 mse_avg:0.15 mse_y:0.16 mse_u:0.11 mse_v:0.11 psnr_avg:56.49 psnr_y:55.97 psnr_u:57.81 psnr_v:57.73 
n:46 mse_avg:0.15 mse_y:0.17 mse_u:0.12 mse_v:0.11 psnr_avg:56.34 psnr_y:55.84 psnr_u:57.51 psnr_v:57.60 
n:47 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.45 psnr_y:55.95 psnr_u:57.70 psnr_v:57.63 
n:48 mse_avg:0.15 mse_y:0.17 mse_u:0.12 mse_v:0.12 psnr_avg:56.27 psnr_y:55.79 psnr_u:57.50 psnr_v:57.38 
n:49 mse_avg:0.15 mse_y:0.16 mse_u:0.11 mse_v:0.11 psnr_avg:56.49 psnr_y:56.05 psnr_u:57.53 psnr_v:57.54 
n:50 mse_avg:0.15 mse_y:0.17 mse_u:0.12 mse_v:0.12 psnr_avg:56.31 psnr_y:55.85 psnr_u:57.34 psnr_v:57.51 
n:51 mse_avg:0.15 mse_y:0.16 mse_u:0.11 mse_v:0.11 psnr_avg:56.50 psnr_y:56.00 psnr_u:57.75 psnr_v:57.70 
n:52 mse_avg:0.15 mse_y:0.17 mse_u:0.12 mse_v:0.12 psnr_avg:56.28 psnr_y:55.78 psnr_u:57.52 psnr_v:57.51 
n:53 mse_avg:0.14 mse_y:0.16 mse_u:0.11 mse_v:0.11 psnr_avg:56.56 psnr_y:56.05 psnr_u:57.71 psnr_v:57.90 
n:54 mse_avg:0.15 mse_y:0.17 mse_u:0.11 mse_v:0.11 psnr_avg:56.37 psnr_y:55.88 psnr_u:57.58 psnr_v:57.53 
n:55 mse_avg:0.15 mse_y:0.17 mse_u:0.12 mse_v:0.11 psnr_avg:56.37 psnr_y:55.87 psnr_u:57.50 psnr_v:57.70 
