n:1 mse_avg:2.25 mse_y:2.54 mse_u:1.68 mse_v:1.65 psnr_avg:44.61 psnr_y:44.08 psnr_u:45.88 psnr_v:45.95 
n:2 mse_avg:6.96 mse_y:8.30 mse_u:4.29 mse_v:4.26 psnr_avg:39.71 psnr_y:38.94 psnr_u:41.81 psnr_v:41.84 
n:3 mse_avg:6.14 mse_y:7.19 mse_u:4.03 mse_v:4.08 psnr_avg:40.25 psnr_y:39.57 psnr_u:42.08 psnr_v:42.02 
n:4 mse_avg:7.45 mse_y:8.74 mse_u:4.84 mse_v:4.88 psnr_avg:39.41 psnr_y:38.72 psnr_u:41.28 psnr_v:41.25 
n:5 mse_avg:4.97 mse_y:5.75 mse_u:3.48 mse_v:3.35 psnr_avg:41.17 psnr_y:40.54 psnr_u:42.72 psnr_v:42.88 
n:6 mse_avg:7.64 mse_y:8.85 mse_u:5.21 mse_v:5.21 psnr_avg:39.30 psnr_y:38.66 psnr_u:40.96 psnr_v:40.96 
n:7 mse_avg:6.48 mse_y:7.44 mse_u:4.63 mse_v:4.50 psnr_avg:40.01 psnr_y:39.41 psnr_u:41.47 psnr_v:41.59 
n:8 mse_avg:7.72 mse_y:8.96 mse_u:5.26 mse_v:5.19 psnr_avg:39.26 psnr_y:38.61 psnr_u:40.92 psnr_v:40.98 
n:9 mse_avg:5.09 mse_y:5.83 mse_u:3.72 mse_v:3.52 psnr_avg:41.06 psnr_y:40.47 psnr_u:42.42 psnr_v:42.66 
n:10 mse_avg:7.72 mse_y:8.92 mse_u:5.28 mse_v:5.34 psnr_avg:39.26 psnr_y:38.63 psnr_u:40.90 psnr_v:40.85 
n:11 mse_avg:6.63 mse_y:7.63 mse_u:4.67 mse_v:4.57 psnr_avg:39.92 psnr_y:39.30 psnr_u:41.44 psnr_v:41.53 
n:12 mse_avg:7.83 mse_y:9.01 mse_u:5.48 mse_v:5.47 psnr_avg:39.19 psnr_y:38.58 psnr_u:40.74 psnr_v:40.75 
n:13 mse_avg:5.26 mse_y:5.95 mse_u:3.93 mse_v:3.83 psnr_avg:40.92 psnr_y:40.39 psnr_u:42.19 psnr_v:42.30 
