timestamp,cpu_percent,memory_mb,memory_percent
2026-01-27 20:34:12.002,0.0,11.80,0.0
2026-01-27 20:34:12.041,100,30.63,0.1
2026-01-27 20:34:12.103,481,52.87,0.3
2026-01-27 20:34:12.207,577,53.08,0.3
2026-01-27 20:34:12.312,662,53.09,0.3
2026-01-27 20:34:12.422,688,53.09,0.3
2026-01-27 20:34:12.528,718,53.10,0.3
2026-01-27 20:34:12.628,731,53.10,0.3
2026-01-27 20:34:12.742,738,53.11,0.3
2026-01-27 20:34:12.849,744,53.11,0.3
2026-01-27 20:34:12.950,748,53.12,0.3
2026-01-27 20:34:13.059,746,53.14,0.3
2026-01-27 20:34:13.156,753,53.14,0.3
2026-01-27 20:34:13.258,756,53.15,0.3
2026-01-27 20:34:13.359,761,53.16,0.3
2026-01-27 20:34:13.458,760,53.16,0.3
2026-01-27 20:34:13.554,760,53.17,0.3
2026-01-27 20:34:13.651,765,53.17,0.3
2026-01-27 20:34:13.752,766,53.19,0.3
2026-01-27 20:34:13.852,767,53.19,0.3
2026-01-27 20:34:13.960,769,53.20,0.3
2026-01-27 20:34:14.061,774,53.21,0.3
2026-01-27 20:34:14.164,767,53.22,0.3
2026-01-27 20:34:14.258,769,53.23,0.3
2026-01-27 20:34:14.368,768,53.41,0.3
2026-01-27 20:34:14.465,765,53.41,0.3
2026-01-27 20:34:14.566,761,53.41,0.3
2026-01-27 20:34:14.668,762,53.41,0.3
2026-01-27 20:34:14.776,759,53.41,0.3
2026-01-27 20:34:14.875,760,53.41,0.3
2026-01-27 20:34:14.982,760,53.41,0.3
2026-01-27 20:34:15.087,756,53.41,0.3
2026-01-27 20:34:15.185,757,53.41,0.3
2026-01-27 20:34:15.287,756,53.41,0.3
2026-01-27 20:34:15.389,757,53.41,0.3
2026-01-27 20:34:15.492,756,53.41,0.3
2026-01-27 20:34:15.589,755,53.41,0.3
2026-01-27 20:34:15.694,753,53.41,0.3
2026-01-27 20:34:15.794,755,53.41,0.3
2026-01-27 20:34:15.894,751,53.41,0.3
2026-01-27 20:34:16.001,753,53.41,0.3
2026-01-27 20:34:16.105,752,53.41,0.3
2026-01-27 20:34:16.212,753,53.41,0.3
2026-01-27 20:34:16.310,751,53.41,0.3
2026-01-27 20:34:16.412,753,53.48,0.3
2026-01-27 20:34:16.514,751,53.48,0.3
2026-01-27 20:34:16.625,753,53.48,0.3
2026-01-27 20:34:16.722,754,53.48,0.3
2026-01-27 20:34:16.830,753,53.48,0.3
2026-01-27 20:34:16.928,752,53.48,0.3
2026-01-27 20:34:17.032,752,53.48,0.3
2026-01-27 20:34:17.131,751,53.48,0.3
2026-01-27 20:34:17.227,753,53.48,0.3
2026-01-27 20:34:17.331,752,53.48,0.3
2026-01-27 20:34:17.434,751,53.48,0.3
2026-01-27 20:34:17.533,752,53.48,0.3
2026-01-27 20:34:17.632,751,53.48,0.3
2026-01-27 20:34:17.737,750,53.48,0.3
2026-01-27 20:34:17.833,750,53.48,0.3
2026-01-27 20:34:17.910,745,53.48,0.3
2026-01-27 20:34:17.947,745,53.48,0.3
2026-01-27 20:34:17.980,744,53.49,0.3
2026-01-27 20:34:18.017,744,53.49,0.3
2026-01-27 20:34:18.049,745,53.70,0.3
2026-01-27 20:34:18.080,744,53.71,0.3
2026-01-27 20:34:18.114,744,53.72,0.3
2026-01-27 20:34:18.149,745,53.73,0.3
2026-01-27 20:34:18.183,744,53.73,0.3
2026-01-27 20:34:18.217,745,53.73,0.3
2026-01-27 20:34:18.250,745,53.73,0.3
2026-01-27 20:34:18.285,744,53.73,0.3
2026-01-27 20:34:18.322,743,53.73,0.3
