timestamp,cpu_percent,memory_mb,memory_percent
2026-01-28 07:12:33.908,150,11.84,0.0
2026-01-28 07:12:33.990,110,24.89,0.1
2026-01-28 07:12:34.074,272,52.89,0.3
2026-01-28 07:12:34.167,442,52.93,0.3
2026-01-28 07:12:34.265,534,53.11,0.3
2026-01-28 07:12:34.362,593,53.14,0.3
2026-01-28 07:12:34.464,639,53.14,0.3
2026-01-28 07:12:34.557,641,53.15,0.3
2026-01-28 07:12:34.646,657,53.15,0.3
2026-01-28 07:12:34.742,671,53.16,0.3
2026-01-28 07:12:34.834,685,53.16,0.3
2026-01-28 07:12:34.934,692,53.16,0.3
2026-01-28 07:12:35.026,709,53.16,0.3
2026-01-28 07:12:35.124,716,53.17,0.3
2026-01-28 07:12:35.222,724,53.17,0.3
2026-01-28 07:12:35.323,729,53.17,0.3
2026-01-28 07:12:35.418,734,53.18,0.3
2026-01-28 07:12:35.522,737,53.19,0.3
2026-01-28 07:12:35.618,743,53.19,0.3
2026-01-28 07:12:35.722,751,53.20,0.3
2026-01-28 07:12:35.816,756,53.20,0.3
2026-01-28 07:12:35.911,765,53.21,0.3
2026-01-28 07:12:36.018,763,53.21,0.3
2026-01-28 07:12:36.106,769,53.21,0.3
2026-01-28 07:12:36.194,770,53.22,0.3
2026-01-28 07:12:36.282,766,53.22,0.3
2026-01-28 07:12:36.371,767,53.23,0.3
2026-01-28 07:12:36.473,768,53.23,0.3
2026-01-28 07:12:36.561,768,53.24,0.3
2026-01-28 07:12:36.652,766,53.25,0.3
2026-01-28 07:12:36.742,766,53.25,0.3
2026-01-28 07:12:36.835,767,53.26,0.3
2026-01-28 07:12:36.929,767,53.26,0.3
2026-01-28 07:12:37.031,768,53.27,0.3
2026-01-28 07:12:37.128,769,53.28,0.3
2026-01-28 07:12:37.225,769,53.46,0.3
2026-01-28 07:12:37.318,769,53.47,0.3
2026-01-28 07:12:37.409,769,53.47,0.3
2026-01-28 07:12:37.502,772,53.47,0.3
2026-01-28 07:12:37.598,774,53.47,0.3
2026-01-28 07:12:37.700,773,53.47,0.3
2026-01-28 07:12:37.797,776,53.47,0.3
2026-01-28 07:12:37.899,775,53.47,0.3
2026-01-28 07:12:38.001,775,53.47,0.3
2026-01-28 07:12:38.099,778,53.47,0.3
2026-01-28 07:12:38.201,778,53.47,0.3
2026-01-28 07:12:38.301,779,53.47,0.3
2026-01-28 07:12:38.399,780,53.47,0.3
2026-01-28 07:12:38.494,782,53.47,0.3
2026-01-28 07:12:38.589,782,53.47,0.3
2026-01-28 07:12:38.683,781,53.47,0.3
2026-01-28 07:12:38.784,784,53.47,0.3
2026-01-28 07:12:38.883,784,53.47,0.3
2026-01-28 07:12:38.978,782,53.47,0.3
2026-01-28 07:12:39.072,783,53.47,0.3
2026-01-28 07:12:39.165,786,53.47,0.3
2026-01-28 07:12:39.258,786,53.47,0.3
2026-01-28 07:12:39.353,785,53.47,0.3
2026-01-28 07:12:39.450,786,53.47,0.3
2026-01-28 07:12:39.551,788,53.47,0.3
2026-01-28 07:12:39.648,787,53.47,0.3
2026-01-28 07:12:39.746,787,53.47,0.3
2026-01-28 07:12:39.842,789,53.47,0.3
2026-01-28 07:12:39.945,788,53.53,0.3
2026-01-28 07:12:40.036,788,53.53,0.3
2026-01-28 07:12:40.134,788,53.53,0.3
2026-01-28 07:12:40.229,789,53.53,0.3
2026-01-28 07:12:40.327,788,53.53,0.3
2026-01-28 07:12:40.422,789,53.53,0.3
2026-01-28 07:12:40.517,789,53.53,0.3
2026-01-28 07:12:40.623,790,53.53,0.3
2026-01-28 07:12:40.713,791,53.53,0.3
2026-01-28 07:12:40.809,791,53.53,0.3
2026-01-28 07:12:40.908,791,53.53,0.3
