n:34 mse_avg:15.75 mse_y:22.61 mse_u:1.20 mse_v:2.85 psnr_avg:36.16 psnr_y:34.59 psnr_u:47.34 psnr_v:43.58 
n:35 mse_avg:15.81 mse_y:22.68 mse_u:1.21 mse_v:2.91 psnr_avg:36.14 psnr_y:34.57 psnr_u:47.30 psnr_v:43.50 
n:36 mse_avg:16.35 mse_y:23.49 mse_u:1.24 mse_v:2.92 psnr_avg:35.99 psnr_y:34.42 psnr_u:47.19 psnr_v:43.48 
n:37 mse_avg:9.33 mse_y:13.01 mse_u:1.21 mse_v:2.73 psnr_avg:38.43 psnr_y:36.99 psnr_u:47.31 psnr_v:43.77 
n:38 mse_avg:10.99 mse_y:15.48 mse_u:1.23 mse_v:2.79 psnr_avg:37.72 psnr_y:36.23 psnr_u:47.22 psnr_v:43.67 
n:39 mse_avg:13.70 mse_y:19.52 mse_u:1.25 mse_v:2.86 psnr_avg:36.77 psnr_y:35.23 psnr_u:47.17 psnr_v:43.57 
n:40 mse_avg:14.16 mse_y:20.19 mse_u:1.27 mse_v:2.93 psnr_avg:36.62 psnr_y:35.08 psnr_u:47.10 psnr_v:43.46 
n:41 mse_avg:14.97 mse_y:21.38 mse_u:1.29 mse_v:3.02 psnr_avg:36.38 psnr_y:34.83 psnr_u:47.01 psnr_v:43.34 
n:42 mse_avg:16.14 mse_y:23.11 mse_u:1.31 mse_v:3.09 psnr_avg:36.05 psnr_y:34.49 psnr_u:46.95 psnr_v:43.24 
n:43 mse_avg:17.39 mse_y:24.95 mse_u:1.36 mse_v:3.16 psnr_avg:35.73 psnr_y:34.16 psnr_u:46.81 psnr_v:43.13 
n:44 mse_avg:17.61 mse_y:25.24 mse_u:1.38 mse_v:3.29 psnr_avg:35.67 psnr_y:34.11 psnr_u:46.74 psnr_v:42.96 
n:45 mse_avg:18.50 mse_y:26.52 mse_u:1.44 mse_v:3.44 psnr_avg:35.46 psnr_y:33.89 psnr_u:46.55 psnr_v:42.77 
n:46 mse_avg:9.69 mse_y:13.44 mse_u:1.37 mse_v:3.01 psnr_avg:38.27 psnr_y:36.85 psnr_u:46.76 psnr_v:43.34 
n:47 mse_avg:12.00 mse_y:16.86 mse_u:1.43 mse_v:3.15 psnr_avg:37.34 psnr_y:35.86 psnr_u:46.56 psnr_v:43.14 
n:48 mse_avg:15.98 mse_y:22.78 mse_u:1.44 mse_v:3.31 psnr_avg:36.10 psnr_y:34.56 psnr_u:46.55 psnr_v:42.94 
n:49 mse_avg:16.79 mse_y:23.95 mse_u:1.46 mse_v:3.47 psnr_avg:35.88 psnr_y:34.34 psnr_u:46.50 psnr_v:42.73 
n:50 mse_avg:17.56 mse_y:25.08 mse_u:1.49 mse_v:3.54 psnr_avg:35.69 psnr_y:34.14 psnr_u:46.41 psnr_v:42.64 
n:51 mse_avg:12.46 mse_y:17.47 mse_u:1.49 mse_v:3.38 psnr_avg:37.18 psnr_y:35.71 psnr_u:46.40 psnr_v:42.84 
n:52 mse_avg:10.88 mse_y:15.13 mse_u:1.43 mse_v:3.31 psnr_avg:37.77 psnr_y:36.33 psnr_u:46.57 psnr_v:42.93 
n:53 mse_avg:10.77 mse_y:14.97 mse_u:1.44 mse_v:3.31 psnr_avg:37.81 psnr_y:36.38 psnr_u:46.55 psnr_v:42.93 
n:54 mse_avg:10.82 mse_y:15.04 mse_u:1.47 mse_v:3.31 psnr_avg:37.79 psnr_y:36.36 psnr_u:46.46 psnr_v:42.93 
n:55 mse_avg:5.69 mse_y:7.63 mse_u:1.20 mse_v:2.41 psnr_avg:40.58 psnr_y:39.31 psnr_u:47.33 psnr_v:44.30 
n:56 mse_avg:7.78 mse_y:10.72 mse_u:1.23 mse_v:2.53 psnr_avg:39.22 psnr_y:37.83 psnr_u:47.24 psnr_v:44.10 
n:57 mse_avg:10.01 mse_y:14.03 mse_u:1.26 mse_v:2.71 psnr_avg:38.12 psnr_y:36.66 psnr_u:47.12 psnr_v:43.79 
n:58 mse_avg:10.92 mse_y:15.35 mse_u:1.29 mse_v:2.82 psnr_avg:37.75 psnr_y:36.27 psnr_u:47.02 psnr_v:43.62 
n:59 mse_avg:11.46 mse_y:16.12 mse_u:1.34 mse_v:2.94 psnr_avg:37.54 psnr_y:36.06 psnr_u:46.86 psnr_v:43.44 
n:60 mse_avg:10.33 mse_y:14.44 mse_u:1.36 mse_v:2.85 psnr_avg:37.99 psnr_y:36.54 psnr_u:46.80 psnr_v:43.57 
n:61 mse_avg:11.74 mse_y:16.54 mse_u:1.39 mse_v:2.88 psnr_avg:37.43 psnr_y:35.94 psnr_u:46.70 psnr_v:43.53 
n:62 mse_avg:11.43 mse_y:16.07 mse_u:1.41 mse_v:2.90 psnr_avg:37.55 psnr_y:36.07 psnr_u:46.65 psnr_v:43.51 
n:63 mse_avg:11.27 mse_y:15.83 mse_u:1.40 mse_v:2.93 psnr_avg:37.61 psnr_y:36.14 psnr_u:46.68 psnr_v:43.46 
n:64 mse_avg:6.58 mse_y:8.91 mse_u:1.27 mse_v:2.60 psnr_avg:39.95 psnr_y:38.63 psnr_u:47.08 psnr_v:43.98 
n:65 mse_avg:7.84 mse_y:10.78 mse_u:1.29 mse_v:2.65 psnr_avg:39.19 psnr_y:37.81 psnr_u:47.04 psnr_v:43.90 
n:66 mse_avg:7.65 mse_y:10.48 mse_u:1.29 mse_v:2.70 psnr_avg:39.29 psnr_y:37.93 psnr_u:47.04 psnr_v:43.82 
n:67 mse_avg:7.84 mse_y:10.75 mse_u:1.31 mse_v:2.73 psnr_avg:39.19 psnr_y:37.82 psnr_u:46.97 psnr_v:43.76 
n:68 mse_avg:7.62 mse_y:10.40 mse_u:1.32 mse_v:2.77 psnr_avg:39.31 psnr_y:37.96 psnr_u:46.92 psnr_v:43.70 
n:69 mse_avg:7.81 mse_y:10.68 mse_u:1.32 mse_v:2.78 psnr_avg:39.21 psnr_y:37.84 psnr_u:46.92 psnr_v:43.68 
n:70 mse_avg:8.39 mse_y:11.55 mse_u:1.34 mse_v:2.84 psnr_avg:38.89 psnr_y:37.51 psnr_u:46.85 psnr_v:43.59 
n:71 mse_avg:7.74 mse_y:10.56 mse_u:1.33 mse_v:2.82 psnr_avg:39.25 psnr_y:37.89 psnr_u:46.88 psnr_v:43.63 
n:72 mse_avg:7.92 mse_y:10.83 mse_u:1.34 mse_v:2.85 psnr_avg:39.15 psnr_y:37.79 psnr_u:46.86 psnr_v:43.58 
n:73 mse_avg:6.75 mse_y:9.13 mse_u:1.30 mse_v:2.68 psnr_avg:39.84 psnr_y:38.52 psnr_u:47.00 psnr_v:43.85 
n:74 mse_avg:8.12 mse_y:11.18 mse_u:1.29 mse_v:2.71 psnr_avg:39.03 psnr_y:37.64 psnr_u:47.01 psnr_v:43.80 
n:75 mse_avg:8.82 mse_y:12.21 mse_u:1.30 mse_v:2.75 psnr_avg:38.68 psnr_y:37.26 psnr_u:46.98 psnr_v:43.73 
n:76 mse_avg:8.63 mse_y:11.91 mse_u:1.32 mse_v:2.78 psnr_avg:38.77 psnr_y:37.37 psnr_u:46.94 psnr_v:43.69 
n:77 mse_avg:8.47 mse_y:11.68 mse_u:1.32 mse_v:2.82 psnr_avg:38.85 psnr_y:37.46 psnr_u:46.92 psnr_v:43.63 
n:78 mse_avg:8.68 mse_y:11.98 mse_u:1.33 mse_v:2.86 psnr_avg:38.74 psnr_y:37.35 psnr_u:46.89 psnr_v:43.57 
n:79 mse_avg:9.22 mse_y:12.78 mse_u:1.34 mse_v:2.87 psnr_avg:38.48 psnr_y:37.06 psnr_u:46.86 psnr_v:43.54 
n:80 mse_avg:8.60 mse_y:11.83 mse_u:1.36 mse_v:2.90 psnr_avg:38.79 psnr_y:37.40 psnr_u:46.80 psnr_v:43.51 
n:81 mse_avg:8.48 mse_y:11.65 mse_u:1.37 mse_v:2.90 psnr_avg:38.85 psnr_y:37.47 psnr_u:46.76 psnr_v:43.51 
n:82 mse_avg:6.57 mse_y:8.85 mse_u:1.33 mse_v:2.69 psnr_avg:39.96 psnr_y:38.66 psnr_u:46.89 psnr_v:43.84 
n:83 mse_avg:7.52 mse_y:10.27 mse_u:1.34 mse_v:2.72 psnr_avg:39.37 psnr_y:38.02 psnr_u:46.86 psnr_v:43.78 
n:84 mse_avg:7.42 mse_y:10.10 mse_u:1.35 mse_v:2.75 psnr_avg:39.43 psnr_y:38.09 psnr_u:46.83 psnr_v:43.73 
n:85 mse_avg:7.30 mse_y:9.92 mse_u:1.34 mse_v:2.79 psnr_avg:39.50 psnr_y:38.17 psnr_u:46.86 psnr_v:43.67 
n:86 mse_avg:7.35 mse_y:9.98 mse_u:1.35 mse_v:2.81 psnr_avg:39.47 psnr_y:38.14 psnr_u:46.83 psnr_v:43.64 
n:87 mse_avg:8.23 mse_y:11.30 mse_u:1.34 mse_v:2.85 psnr_avg:38.97 psnr_y:37.60 psnr_u:46.85 psnr_v:43.59 
n:88 mse_avg:8.68 mse_y:11.95 mse_u:1.36 mse_v:2.90 psnr_avg:38.75 psnr_y:37.36 psnr_u:46.80 psnr_v:43.50 
n:89 mse_avg:8.37 mse_y:11.47 mse_u:1.38 mse_v:2.97 psnr_avg:38.90 psnr_y:37.54 psnr_u:46.74 psnr_v:43.40 
n:90 mse_avg:8.39 mse_y:11.49 mse_u:1.38 mse_v:3.01 psnr_avg:38.89 psnr_y:37.53 psnr_u:46.72 psnr_v:43.34 
n:91 mse_avg:6.90 mse_y:9.33 mse_u:1.34 mse_v:2.79 psnr_avg:39.74 psnr_y:38.43 psnr_u:46.86 psnr_v:43.68 
n:92 mse_avg:8.72 mse_y:12.02 mse_u:1.36 mse_v:2.89 psnr_avg:38.73 psnr_y:37.33 psnr_u:46.79 psnr_v:43.53 
n:93 mse_avg:9.07 mse_y:12.54 mse_u:1.38 mse_v:2.84 psnr_avg:38.56 psnr_y:37.15 psnr_u:46.74 psnr_v:43.60 
