timestamp,cpu_percent,memory_mb,memory_percent
2026-01-28 07:20:04.428,150,11.71,0.0
2026-01-28 07:20:04.511,122,25.52,0.1
2026-01-28 07:20:04.592,300,52.74,0.3
2026-01-28 07:20:04.699,514,52.77,0.3
2026-01-28 07:20:04.808,585,52.95,0.3
2026-01-28 07:20:04.925,634,52.98,0.3
2026-01-28 07:20:05.039,657,52.99,0.3
2026-01-28 07:20:05.157,682,52.99,0.3
2026-01-28 07:20:05.273,705,53.00,0.3
2026-01-28 07:20:05.380,719,53.00,0.3
2026-01-28 07:20:05.478,726,53.00,0.3
2026-01-28 07:20:05.581,735,53.00,0.3
2026-01-28 07:20:05.679,738,53.00,0.3
2026-01-28 07:20:05.783,746,53.01,0.3
2026-01-28 07:20:05.884,755,53.01,0.3
2026-01-28 07:20:05.984,756,53.01,0.3
2026-01-28 07:20:06.091,765,53.01,0.3
2026-01-28 07:20:06.196,765,53.02,0.3
2026-01-28 07:20:06.302,776,53.02,0.3
2026-01-28 07:20:06.408,775,53.03,0.3
2026-01-28 07:20:06.511,782,53.03,0.3
2026-01-28 07:20:06.616,776,53.04,0.3
2026-01-28 07:20:06.679,774,53.04,0.3
2026-01-28 07:20:06.729,775,53.05,0.3
2026-01-28 07:20:06.764,776,53.05,0.3
2026-01-28 07:20:06.804,776,53.06,0.3
2026-01-28 07:20:06.843,776,53.07,0.3
2026-01-28 07:20:06.882,776,53.07,0.3
2026-01-28 07:20:06.918,774,53.08,0.3
2026-01-28 07:20:06.955,774,53.08,0.3
2026-01-28 07:20:06.995,775,53.09,0.3
2026-01-28 07:20:07.035,774,53.10,0.3
2026-01-28 07:20:07.072,774,53.10,0.3
2026-01-28 07:20:07.108,776,53.27,0.3
2026-01-28 07:20:07.150,776,53.28,0.3
2026-01-28 07:20:07.191,777,53.28,0.3
2026-01-28 07:20:07.232,775,53.28,0.3
2026-01-28 07:20:07.270,780,53.28,0.3
2026-01-28 07:20:07.308,780,53.28,0.3
2026-01-28 07:20:07.346,780,53.28,0.3
2026-01-28 07:20:07.386,780,53.28,0.3
2026-01-28 07:20:07.431,780,53.28,0.3
2026-01-28 07:20:07.468,780,53.28,0.3
2026-01-28 07:20:07.504,779,53.28,0.3
2026-01-28 07:20:07.539,781,53.28,0.3
2026-01-28 07:20:07.577,781,53.28,0.3
2026-01-28 07:20:07.620,783,53.28,0.3
2026-01-28 07:20:07.660,783,53.28,0.3
2026-01-28 07:20:07.700,783,53.28,0.3
2026-01-28 07:20:07.738,783,53.28,0.3
2026-01-28 07:20:07.782,781,53.28,0.3
2026-01-28 07:20:07.822,781,53.28,0.3
2026-01-28 07:20:07.857,783,53.28,0.3
2026-01-28 07:20:07.895,783,53.28,0.3
2026-01-28 07:20:07.935,784,53.28,0.3
2026-01-28 07:20:07.973,783,53.36,0.3
2026-01-28 07:20:08.011,784,53.36,0.3
2026-01-28 07:20:08.050,784,53.36,0.3
2026-01-28 07:20:08.088,784,53.36,0.3
2026-01-28 07:20:08.124,784,53.36,0.3
2026-01-28 07:20:08.164,784,53.36,0.3
2026-01-28 07:20:08.205,784,53.36,0.3
2026-01-28 07:20:08.242,784,53.36,0.3
2026-01-28 07:20:08.280,786,53.42,0.3
