n:39 mse_avg:1.98 mse_y:2.48 mse_u:1.03 mse_v:0.91 psnr_avg:45.17 psnr_y:44.19 psnr_u:47.98 psnr_v:48.54 
n:40 mse_avg:2.00 mse_y:2.52 mse_u:1.02 mse_v:0.90 psnr_avg:45.13 psnr_y:44.12 psnr_u:48.06 psnr_v:48.58 
n:41 mse_avg:1.47 mse_y:1.77 mse_u:0.92 mse_v:0.83 psnr_avg:46.44 psnr_y:45.64 psnr_u:48.50 psnr_v:48.94 
n:42 mse_avg:1.75 mse_y:2.18 mse_u:0.94 mse_v:0.86 psnr_avg:45.70 psnr_y:44.75 psnr_u:48.41 psnr_v:48.81 
n:43 mse_avg:1.75 mse_y:2.18 mse_u:0.96 mse_v:0.84 psnr_avg:45.69 psnr_y:44.75 psnr_u:48.33 psnr_v:48.87 
n:44 mse_avg:1.76 mse_y:2.19 mse_u:0.94 mse_v:0.85 psnr_avg:45.68 psnr_y:44.72 psnr_u:48.38 psnr_v:48.85 
n:45 mse_avg:1.38 mse_y:1.64 mse_u:0.90 mse_v:0.81 psnr_avg:46.74 psnr_y:45.99 psnr_u:48.59 psnr_v:49.07 
n:46 mse_avg:1.66 mse_y:2.06 mse_u:0.93 mse_v:0.83 psnr_avg:45.92 psnr_y:45.00 psnr_u:48.45 psnr_v:48.94 
n:47 mse_avg:1.60 mse_y:1.97 mse_u:0.92 mse_v:0.80 psnr_avg:46.08 psnr_y:45.18 psnr_u:48.51 psnr_v:49.09 
n:48 mse_avg:1.55 mse_y:1.89 mse_u:0.93 mse_v:0.81 psnr_avg:46.22 psnr_y:45.36 psnr_u:48.43 psnr_v:49.04 
n:49 mse_avg:1.23 mse_y:1.44 mse_u:0.88 mse_v:0.76 psnr_avg:47.22 psnr_y:46.55 psnr_u:48.70 psnr_v:49.32 
n:50 mse_avg:1.47 mse_y:1.79 mse_u:0.89 mse_v:0.78 psnr_avg:46.46 psnr_y:45.61 psnr_u:48.65 psnr_v:49.22 
n:51 mse_avg:1.46 mse_y:1.77 mse_u:0.89 mse_v:0.78 psnr_avg:46.50 psnr_y:45.66 psnr_u:48.63 psnr_v:49.21 
n:52 mse_avg:1.45 mse_y:1.76 mse_u:0.88 mse_v:0.77 psnr_avg:46.51 psnr_y:45.67 psnr_u:48.69 psnr_v:49.25 
n:53 mse_avg:1.20 mse_y:1.39 mse_u:0.85 mse_v:0.76 psnr_avg:47.35 psnr_y:46.70 psnr_u:48.82 psnr_v:49.31 
n:54 mse_avg:1.47 mse_y:1.79 mse_u:0.87 mse_v:0.78 psnr_avg:46.46 psnr_y:45.60 psnr_u:48.72 psnr_v:49.19 
n:55 mse_avg:1.44 mse_y:1.76 mse_u:0.86 mse_v:0.78 psnr_avg:46.53 psnr_y:45.68 psnr_u:48.79 psnr_v:49.24 
