timestamp,cpu_percent,memory_mb,memory_percent
2026-01-27 20:33:26.146,150,11.76,0.0
2026-01-27 20:33:26.231,110,23.40,0.1
2026-01-27 20:33:26.310,111,68.58,0.4
2026-01-27 20:33:26.396,159,82.74,0.5
2026-01-27 20:33:26.505,289,88.19,0.5
2026-01-27 20:33:26.608,343,88.68,0.5
2026-01-27 20:33:26.721,381,88.75,0.5
2026-01-27 20:33:26.834,423,88.87,0.5
2026-01-27 20:33:26.955,456,88.99,0.5
2026-01-27 20:33:27.073,469,89.04,0.5
2026-01-27 20:33:27.189,487,89.08,0.5
2026-01-27 20:33:27.287,497,89.16,0.5
2026-01-27 20:33:27.366,502,89.23,0.5
2026-01-27 20:33:27.457,506,89.25,0.5
2026-01-27 20:33:27.532,524,89.29,0.5
2026-01-27 20:33:27.620,527,89.29,0.5
2026-01-27 20:33:27.696,537,89.30,0.5
2026-01-27 20:33:27.779,543,89.32,0.5
2026-01-27 20:33:27.857,551,89.33,0.5
2026-01-27 20:33:27.938,558,89.50,0.5
2026-01-27 20:33:28.014,566,89.75,0.5
2026-01-27 20:33:28.103,571,89.80,0.5
2026-01-27 20:33:28.193,575,89.81,0.5
2026-01-27 20:33:28.279,573,89.83,0.5
2026-01-27 20:33:28.370,575,89.86,0.5
2026-01-27 20:33:28.456,576,89.87,0.5
2026-01-27 20:33:28.545,582,89.89,0.5
2026-01-27 20:33:28.631,585,89.89,0.5
2026-01-27 20:33:28.719,589,89.91,0.5
2026-01-27 20:33:28.803,594,89.92,0.5
2026-01-27 20:33:28.890,597,89.96,0.5
2026-01-27 20:33:28.978,598,89.96,0.5
2026-01-27 20:33:29.063,598,89.98,0.5
2026-01-27 20:33:29.151,596,89.98,0.5
2026-01-27 20:33:29.225,596,89.99,0.5
2026-01-27 20:33:29.310,599,89.99,0.5
2026-01-27 20:33:29.395,600,89.99,0.5
2026-01-27 20:33:29.477,601,89.99,0.5
2026-01-27 20:33:29.567,601,90.00,0.5
2026-01-27 20:33:29.654,601,90.07,0.5
2026-01-27 20:33:29.744,604,90.08,0.5
2026-01-27 20:33:29.830,610,90.08,0.5
2026-01-27 20:33:29.917,609,90.08,0.5
2026-01-27 20:33:30.004,610,90.08,0.5
2026-01-27 20:33:30.093,613,90.09,0.5
2026-01-27 20:33:30.172,617,90.09,0.5
2026-01-27 20:33:30.254,608,90.10,0.5
2026-01-27 20:33:30.296,609,90.42,0.5
2026-01-27 20:33:30.337,611,90.76,0.5
2026-01-27 20:33:30.379,612,90.77,0.5
2026-01-27 20:33:30.419,613,90.78,0.5
2026-01-27 20:33:30.461,613,90.78,0.5
2026-01-27 20:33:30.503,613,55.48,0.3
