n:39 mse_avg:13.19 mse_y:18.72 mse_u:1.27 mse_v:2.98 psnr_avg:36.93 psnr_y:35.41 psnr_u:47.10 psnr_v:43.39 
n:40 mse_avg:15.69 mse_y:22.45 mse_u:1.28 mse_v:3.07 psnr_avg:36.17 psnr_y:34.62 psnr_u:47.04 psnr_v:43.25 
n:41 mse_avg:16.89 mse_y:24.21 mse_u:1.31 mse_v:3.17 psnr_avg:35.86 psnr_y:34.29 psnr_u:46.96 psnr_v:43.12 
n:42 mse_avg:17.78 mse_y:25.52 mse_u:1.35 mse_v:3.27 psnr_avg:35.63 psnr_y:34.06 psnr_u:46.83 psnr_v:42.99 
n:43 mse_avg:17.33 mse_y:24.82 mse_u:1.39 mse_v:3.35 psnr_avg:35.74 psnr_y:34.18 psnr_u:46.70 psnr_v:42.88 
n:44 mse_avg:18.25 mse_y:26.14 mse_u:1.44 mse_v:3.48 psnr_avg:35.52 psnr_y:33.96 psnr_u:46.55 psnr_v:42.71 
n:45 mse_avg:19.64 mse_y:28.19 mse_u:1.48 mse_v:3.62 psnr_avg:35.20 psnr_y:33.63 psnr_u:46.42 psnr_v:42.55 
n:46 mse_avg:20.08 mse_y:28.82 mse_u:1.51 mse_v:3.69 psnr_avg:35.10 psnr_y:33.53 psnr_u:46.34 psnr_v:42.46 
n:47 mse_avg:13.65 mse_y:19.22 mse_u:1.47 mse_v:3.55 psnr_avg:36.78 psnr_y:35.29 psnr_u:46.46 psnr_v:42.63 
n:48 mse_avg:16.00 mse_y:22.72 mse_u:1.48 mse_v:3.63 psnr_avg:36.09 psnr_y:34.57 psnr_u:46.43 psnr_v:42.53 
n:49 mse_avg:17.02 mse_y:24.21 mse_u:1.52 mse_v:3.74 psnr_avg:35.82 psnr_y:34.29 psnr_u:46.32 psnr_v:42.40 
n:50 mse_avg:18.65 mse_y:26.63 mse_u:1.55 mse_v:3.86 psnr_avg:35.42 psnr_y:33.88 psnr_u:46.22 psnr_v:42.27 
n:51 mse_avg:15.61 mse_y:22.08 mse_u:1.53 mse_v:3.79 psnr_avg:36.20 psnr_y:34.69 psnr_u:46.30 psnr_v:42.35 
n:52 mse_avg:15.69 mse_y:22.20 mse_u:1.55 mse_v:3.78 psnr_avg:36.17 psnr_y:34.67 psnr_u:46.23 psnr_v:42.35 
n:53 mse_avg:15.04 mse_y:21.21 mse_u:1.55 mse_v:3.87 psnr_avg:36.36 psnr_y:34.87 psnr_u:46.22 psnr_v:42.25 
n:54 mse_avg:15.44 mse_y:21.76 mse_u:1.61 mse_v:4.03 psnr_avg:36.24 psnr_y:34.76 psnr_u:46.07 psnr_v:42.08 
n:55 mse_avg:15.66 mse_y:22.06 mse_u:1.66 mse_v:4.07 psnr_avg:36.18 psnr_y:34.69 psnr_u:45.93 psnr_v:42.03 
n:56 mse_avg:6.51 mse_y:8.80 mse_u:1.27 mse_v:2.59 psnr_avg:39.99 psnr_y:38.69 psnr_u:47.08 psnr_v:44.00 
n:57 mse_avg:8.94 mse_y:12.40 mse_u:1.32 mse_v:2.73 psnr_avg:38.62 psnr_y:37.20 psnr_u:46.92 psnr_v:43.78 
n:58 mse_avg:11.53 mse_y:16.24 mse_u:1.36 mse_v:2.88 psnr_avg:37.51 psnr_y:36.03 psnr_u:46.78 psnr_v:43.53 
n:59 mse_avg:12.61 mse_y:17.81 mse_u:1.40 mse_v:3.00 psnr_avg:37.12 psnr_y:35.62 psnr_u:46.67 psnr_v:43.36 
n:60 mse_avg:13.01 mse_y:18.39 mse_u:1.43 mse_v:3.08 psnr_avg:36.99 psnr_y:35.49 psnr_u:46.58 psnr_v:43.24 
n:61 mse_avg:11.88 mse_y:16.70 mse_u:1.44 mse_v:3.02 psnr_avg:37.38 psnr_y:35.90 psnr_u:46.56 psnr_v:43.33 
n:62 mse_avg:12.53 mse_y:17.67 mse_u:1.45 mse_v:3.06 psnr_avg:37.15 psnr_y:35.66 psnr_u:46.51 psnr_v:43.28 
n:63 mse_avg:12.69 mse_y:17.91 mse_u:1.47 mse_v:3.05 psnr_avg:37.09 psnr_y:35.60 psnr_u:46.47 psnr_v:43.28 
n:64 mse_avg:12.89 mse_y:18.20 mse_u:1.48 mse_v:3.09 psnr_avg:37.03 psnr_y:35.53 psnr_u:46.44 psnr_v:43.23 
n:65 mse_avg:7.69 mse_y:10.49 mse_u:1.34 mse_v:2.84 psnr_avg:39.27 psnr_y:37.92 psnr_u:46.87 psnr_v:43.60 
n:66 mse_avg:8.66 mse_y:11.93 mse_u:1.35 mse_v:2.89 psnr_avg:38.76 psnr_y:37.36 psnr_u:46.84 psnr_v:43.52 
n:67 mse_avg:9.30 mse_y:12.87 mse_u:1.37 mse_v:2.92 psnr_avg:38.45 psnr_y:37.03 psnr_u:46.77 psnr_v:43.48 
n:68 mse_avg:9.82 mse_y:13.64 mse_u:1.39 mse_v:2.99 psnr_avg:38.21 psnr_y:36.78 psnr_u:46.70 psnr_v:43.38 
n:69 mse_avg:9.88 mse_y:13.71 mse_u:1.38 mse_v:3.02 psnr_avg:38.18 psnr_y:36.76 psnr_u:46.72 psnr_v:43.33 
n:70 mse_avg:10.03 mse_y:13.93 mse_u:1.40 mse_v:3.05 psnr_avg:38.12 psnr_y:36.69 psnr_u:46.67 psnr_v:43.29 
n:71 mse_avg:10.22 mse_y:14.21 mse_u:1.41 mse_v:3.09 psnr_avg:38.04 psnr_y:36.61 psnr_u:46.63 psnr_v:43.23 
n:72 mse_avg:10.42 mse_y:14.48 mse_u:1.43 mse_v:3.14 psnr_avg:37.95 psnr_y:36.52 psnr_u:46.59 psnr_v:43.16 
n:73 mse_avg:10.49 mse_y:14.60 mse_u:1.42 mse_v:3.16 psnr_avg:37.92 psnr_y:36.49 psnr_u:46.61 psnr_v:43.14 
n:74 mse_avg:6.59 mse_y:8.91 mse_u:1.29 mse_v:2.64 psnr_avg:39.94 psnr_y:38.63 psnr_u:47.02 psnr_v:43.91 
n:75 mse_avg:7.90 mse_y:10.85 mse_u:1.30 mse_v:2.67 psnr_avg:39.16 psnr_y:37.77 psnr_u:47.01 psnr_v:43.87 
n:76 mse_avg:8.65 mse_y:11.98 mse_u:1.32 mse_v:2.70 psnr_avg:38.76 psnr_y:37.35 psnr_u:46.93 psnr_v:43.81 
n:77 mse_avg:9.39 mse_y:13.07 mse_u:1.33 mse_v:2.75 psnr_avg:38.40 psnr_y:36.97 psnr_u:46.90 psnr_v:43.74 
n:78 mse_avg:9.62 mse_y:13.41 mse_u:1.34 mse_v:2.76 psnr_avg:38.30 psnr_y:36.86 psnr_u:46.87 psnr_v:43.72 
n:79 mse_avg:9.93 mse_y:13.87 mse_u:1.33 mse_v:2.79 psnr_avg:38.16 psnr_y:36.71 psnr_u:46.88 psnr_v:43.68 
n:80 mse_avg:10.09 mse_y:14.08 mse_u:1.35 mse_v:2.83 psnr_avg:38.09 psnr_y:36.64 psnr_u:46.82 psnr_v:43.61 
n:81 mse_avg:10.21 mse_y:14.25 mse_u:1.37 mse_v:2.87 psnr_avg:38.04 psnr_y:36.59 psnr_u:46.77 psnr_v:43.55 
n:82 mse_avg:10.56 mse_y:14.78 mse_u:1.39 mse_v:2.87 psnr_avg:37.89 psnr_y:36.43 psnr_u:46.71 psnr_v:43.55 
n:83 mse_avg:7.17 mse_y:9.72 mse_u:1.36 mse_v:2.79 psnr_avg:39.57 psnr_y:38.25 psnr_u:46.79 psnr_v:43.67 
n:84 mse_avg:8.10 mse_y:11.10 mse_u:1.37 mse_v:2.80 psnr_avg:39.05 psnr_y:37.68 psnr_u:46.77 psnr_v:43.65 
n:85 mse_avg:9.09 mse_y:12.57 mse_u:1.40 mse_v:2.87 psnr_avg:38.54 psnr_y:37.14 psnr_u:46.67 psnr_v:43.56 
n:86 mse_avg:9.43 mse_y:13.07 mse_u:1.41 mse_v:2.92 psnr_avg:38.38 psnr_y:36.97 psnr_u:46.64 psnr_v:43.48 
n:87 mse_avg:9.79 mse_y:13.60 mse_u:1.41 mse_v:2.92 psnr_avg:38.22 psnr_y:36.80 psnr_u:46.64 psnr_v:43.47 
n:88 mse_avg:9.89 mse_y:13.73 mse_u:1.43 mse_v:2.97 psnr_avg:38.18 psnr_y:36.75 psnr_u:46.57 psnr_v:43.41 
n:89 mse_avg:10.63 mse_y:14.81 mse_u:1.47 mse_v:3.08 psnr_avg:37.87 psnr_y:36.43 psnr_u:46.45 psnr_v:43.24 
n:90 mse_avg:11.11 mse_y:15.50 mse_u:1.49 mse_v:3.15 psnr_avg:37.68 psnr_y:36.23 psnr_u:46.41 psnr_v:43.15 
n:91 mse_avg:11.23 mse_y:15.69 mse_u:1.47 mse_v:3.16 psnr_avg:37.63 psnr_y:36.17 psnr_u:46.45 psnr_v:43.14 
